Group1; SecondsElapsed; DateTimePC; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group1; 283.662522; 2026-07-03 23:50:21.235161; 1845616 | 1835785 | 1837964 || 1838951 | 1847587 | 1845430 || 1840147 | 1849361 | 1849928 || 1844675 | 1844975 | 1848649
Group1; 292.814463; 2026-07-03 23:50:30.387102; 1853220 | 1843391 | 1846805 || 1846507 | 1854863 | 1854399 || 1847902 | 1857419 | 1857947 || 1852763 | 1853227 | 1855839
Group1; 301.965581; 2026-07-03 23:50:39.538220; 1861921 | 1851381 | 1854519 || 1855255 | 1863393 | 1861260 || 1856590 | 1864714 | 1863342 || 1859788 | 1858174 | 1856804
Group1; 311.117337; 2026-07-03 23:50:48.689976; 1866278 | 1856264 | 1858425 || 1857270 | 1860752 | 1860631 || 1854965 | 1862561 | 1862916 || 1857939 | 1857449 | 1857731
Group1; 320.252835; 2026-07-03 23:50:57.825474; 1865485 | 1856621 | 1859311 || 1857265 | 1862327 | 1861416 || 1856081 | 1863362 | 1862944 || 1858849 | 1858394 | 1858806
Group1; 329.404455; 2026-07-03 23:51:06.977094; 1866681 | 1857757 | 1860052 || 1858651 | 1863964 | 1862819 || 1857704 | 1865116 | 1865175 || 1860482 | 1860056 | 1860547
Group1; 338.556135; 2026-07-03 23:51:16.128774; 1868117 | 1859176 | 1861828 || 1860174 | 1865544 | 1865053 || 1859255 | 1866666 | 1866774 || 1862083 | 1861528 | 1861802
Group1; 347.707585; 2026-07-03 23:51:25.280224; 1869599 | 1860608 | 1863483 || 1861831 | 1866928 | 1866396 || 1860727 | 1868507 | 1868304 || 1863764 | 1863274 | 1863351
Group1; 356.859229; 2026-07-03 23:51:34.431868; 1871406 | 1862469 | 1864974 || 1863498 | 1868209 | 1868223 || 1862287 | 1870097 | 1870232 || 1865448 | 1865035 | 1865394
Group1; 366.010692; 2026-07-03 23:51:43.583331; 1873088 | 1863985 | 1866784 || 1865056 | 1870419 | 1869804 || 1864040 | 1871881 | 1871943 || 1867300 | 1866841 | 1867228
Group1; 375.162547; 2026-07-03 23:51:52.735186; 1874934 | 1865584 | 1868484 || 1866894 | 1871900 | 1871454 || 1865962 | 1873215 | 1873008 || 1868760 | 1868454 | 1869256
Group1; 384.297895; 2026-07-03 23:52:01.870534; 1876519 | 1867585 | 1870105 || 1868621 | 1873688 | 1873180 || 1867528 | 1874761 | 1875301 || 1870286 | 1869905 | 1870962
Group1; 393.449743; 2026-07-03 23:52:11.022382; 1878579 | 1869152 | 1872007 || 1870567 | 1875488 | 1875106 || 1869487 | 1876564 | 1876829 || 1872335 | 1871658 | 1872475
Group1; 402.601148; 2026-07-03 23:52:20.173787; 1880211 | 1870772 | 1873508 || 1872165 | 1877727 | 1877113 || 1871147 | 1879108 | 1879241 || 1874468 | 1874060 | 1874119
