Group1; SecondsElapsed; DateTimePC; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group3; 137.535025; 2026-07-03 16:57:09.701955; 
Group3; 146.670221; 2026-07-03 16:57:18.837151; N97_NTC1 | N97_NTC2 | N97_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB || N99_NTC1 | N99_NTC2 | N99_TestSB || N29_NTC1 | N29_NTC2 | N29_TestSB
Group3; 155.821433; 2026-07-03 16:57:27.988363; 3474555 | 3484347 | 3485188 || 3120402 | 3085298 | 3059146 || 3491031 | 3484396 | 3470406 || 3486982 | 3491060 | 3478224
Group3; 164.972799; 2026-07-03 16:57:37.139729; 3474164 | 3482890 | 3483972 || 3563947 | 3470076 | 3383673 || 3489115 | 3482583 | 3465487 || 3485291 | 3489774 | 3477164
Group1; SecondsElapsed; DateTimePC; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group1; 165.03203; 2026-07-03 16:57:37.198960; New Node Array: 88 89 90 91
Group1; 165.032233; 2026-07-03 16:57:37.199163; 
Group1; 174.167751; 2026-07-03 16:57:46.334681; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group1; 183.319523; 2026-07-03 16:57:55.486453; 3489923 | 3476689 | 3479815 || 3475974 | 3482673 | 3481095 || 3473204 | 3486072 | 3485454 || 3477623 | 3476787 | 3476418
Group1; 192.470624; 2026-07-03 16:58:04.637554; 3489701 | 3475866 | 3479622 || 3475746 | 3482454 | 3482535 || 3472918 | 3485776 | 3485901 || 3477886 | 3476782 | 3476504
Group2; SecondsElapsed; DateTimePC; N92_NTC1 | N92_NTC2 | N92_TestSB || N93_NTC1 | N93_NTC2 | N93_TestSB || N94_NTC1 | N94_NTC2 | N94_TestSB || N96_NTC1 | N96_NTC2 | N96_TestSB
Group2; 192.529723; 2026-07-03 16:58:04.696653; New Node Array: 92 93 94 96
Group2; 192.529987; 2026-07-03 16:58:04.696917; 
Group2; 201.665653; 2026-07-03 16:58:13.832583; N92_NTC1 | N92_NTC2 | N92_TestSB || N93_NTC1 | N93_NTC2 | N93_TestSB || N94_NTC1 | N94_NTC2 | N94_TestSB || N96_NTC1 | N96_NTC2 | N96_TestSB
Group2; 210.816711; 2026-07-03 16:58:22.983641; 3478090 | 3475578 | 3485470 || 3486142 | 3476880 | 3478881 || 3487238 | 3484114 | 3488895 || 3482650 | 3487755 | 3477694
Group2; 219.96874; 2026-07-03 16:58:32.135670; 3478334 | 3475828 | 3485783 || 3485894 | 3477072 | 3478544 || 3487190 | 3483948 | 3488292 || 3482372 | 3487292 | 3476791
Group3; SecondsElapsed; DateTimePC; N97_NTC1 | N97_NTC2 | N97_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB || N99_NTC1 | N99_NTC2 | N99_TestSB || N29_NTC1 | N29_NTC2 | N29_TestSB
Group3; 220.028806; 2026-07-03 16:58:32.195736; New Node Array: 97 98 99 29
Group3; 220.028992; 2026-07-03 16:58:32.195922; 
Group3; 229.16409; 2026-07-03 16:58:41.331020; N97_NTC1 | N97_NTC2 | N97_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB || N99_NTC1 | N99_NTC2 | N99_TestSB || N29_NTC1 | N29_NTC2 | N29_TestSB
Group3; 238.316076; 2026-07-03 16:58:50.483006; 3471185 | 3480698 | 3481722 || 3532670 | 3431639 | 3350798 || 3486837 | 3479862 | 3468457 || 3482990 | 3487311 | 3473534
Group3; 247.467203; 2026-07-03 16:58:59.634133; 3470081 | 3479568 | 3480445 || 3586062 | 3540598 | 3502952 || 3485552 | 3478670 | 3465570 || 3481442 | 3486123 | 3473128
Group1; SecondsElapsed; DateTimePC; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group1; 247.526286; 2026-07-03 16:58:59.693216; New Node Array: 88 89 90 91
Group1; 247.526549; 2026-07-03 16:58:59.693479; 
Group1; 256.661958; 2026-07-03 16:59:08.828888; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group1; 265.813783; 2026-07-03 16:59:17.980713; 3485673 | 3472133 | 3475876 || 3471525 | 3478010 | 3477897 || 3468568 | 3481244 | 3481448 || 3473275 | 3472307 | 3471617
Group1; 274.965333; 2026-07-03 16:59:27.132263; 3485023 | 3471396 | 3474916 || 3470892 | 3477235 | 3476889 || 3467664 | 3480558 | 3480960 || 3472580 | 3471808 | 3471156
Group2; SecondsElapsed; DateTimePC; N92_NTC1 | N92_NTC2 | N92_TestSB || N93_NTC1 | N93_NTC2 | N93_TestSB || N94_NTC1 | N94_NTC2 | N94_TestSB || N96_NTC1 | N96_NTC2 | N96_TestSB
Group2; 275.0253; 2026-07-03 16:59:27.192230; New Node Array: 92 93 94 96
Group2; 275.025556; 2026-07-03 16:59:27.192486; 
Group2; 284.159693; 2026-07-03 16:59:36.326623; N92_NTC1 | N92_NTC2 | N92_TestSB || N93_NTC1 | N93_NTC2 | N93_TestSB || N94_NTC1 | N94_NTC2 | N94_TestSB || N96_NTC1 | N96_NTC2 | N96_TestSB
Group2; 293.311233; 2026-07-03 16:59:45.478163; 3472622 | 3469633 | 3479483 || 3479745 | 3471061 | 3472969 || 3481108 | 3478161 | 3482873 || 3476754 | 3481864 | 3471868
Group2; 302.46279; 2026-07-03 16:59:54.629720; 3472544 | 3469832 | 3479990 || 3480812 | 3471647 | 3473690 || 3482021 | 3478589 | 3483294 || 3477173 | 3482109 | 3472224
