Group1; SecondsElapsed; DateTimePC; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group3; 146.611215; 2026-07-03 18:20:42.239096; N97_NTC1 | N97_NTC2 | N97_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB || N99_NTC1 | N99_NTC2 | N99_TestSB || N29_NTC1 | N29_NTC2 | N29_TestSB
Group3; 155.763253; 2026-07-03 18:20:51.391134; 918474 | 921829 | 922496 || 2065375 | 1952856 | 1892273 || 926151 | 924597 | 922197 || 924805 | 926577 | 924433
Group3; 164.89857; 2026-07-03 18:21:00.526451; 923813 | 927005 | 927185 || 2234400 | 2125055 | 2036011 || 931119 | 929596 | 926992 || 929600 | 931295 | 929338
Group1; SecondsElapsed; DateTimePC; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group1; 164.959369; 2026-07-03 18:21:00.587250; New Node Array: 88 89 90 91
Group1; 164.959659; 2026-07-03 18:21:00.587540; 
Group1; 174.094297; 2026-07-03 18:21:09.722178; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group1; 183.24607; 2026-07-03 18:21:18.873951; 937196 | 932294 | 934221 || 934617 | 938545 | 937401 || 935420 | 939438 | 940087 || 937585 | 937907 | 938663
Group1; 192.381743; 2026-07-03 18:21:28.009624; 942394 | 937234 | 938766 || 939309 | 943361 | 942367 || 940169 | 944305 | 944317 || 942076 | 942461 | 943304
Group2; SecondsElapsed; DateTimePC; N92_NTC1 | N92_NTC2 | N92_TestSB || N93_NTC1 | N93_NTC2 | N93_TestSB || N94_NTC1 | N94_NTC2 | N94_TestSB || N96_NTC1 | N96_NTC2 | N96_TestSB
Group2; 192.442374; 2026-07-03 18:21:28.070255; New Node Array: 92 93 94 96
Group2; 192.442911; 2026-07-03 18:21:28.070792; 
Group2; 201.577315; 2026-07-03 18:21:37.205196; N92_NTC1 | N92_NTC2 | N92_TestSB || N93_NTC1 | N93_NTC2 | N93_TestSB || N94_NTC1 | N94_NTC2 | N94_TestSB || N96_NTC1 | N96_NTC2 | N96_TestSB
Group2; 210.728748; 2026-07-03 18:21:46.356629; 948018 | 948831 | 952410 || 952386 | 951411 | 951097 || 953468 | 953167 | 955104 || 953580 | 955503 | 953352
Group2; 219.864563; 2026-07-03 18:21:55.492444; 953014 | 953592 | 957201 || 957456 | 955949 | 956015 || 958008 | 957784 | 960113 || 957771 | 960518 | 958224
Group3; SecondsElapsed; DateTimePC; N97_NTC1 | N97_NTC2 | N97_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB || N99_NTC1 | N99_NTC2 | N99_TestSB || N29_NTC1 | N29_NTC2 | N29_TestSB
Group3; 219.924959; 2026-07-03 18:21:55.552840; New Node Array: 97 98 99 29
Group3; 219.925221; 2026-07-03 18:21:55.553102; 
Group3; 229.060852; 2026-07-03 18:22:04.688733; N97_NTC1 | N97_NTC2 | N97_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB || N99_NTC1 | N99_NTC2 | N99_TestSB || N29_NTC1 | N29_NTC2 | N29_TestSB
Group3; 238.212336; 2026-07-03 18:22:13.840217; 961908 | 964614 | 965958 || 1988320 | 1911838 | 1871557 || 968529 | 967156 | 964939 || 967696 | 968883 | 967130
Group3; 247.363208; 2026-07-03 18:22:22.991089; 966604 | 969436 | 970201 || 1856216 | 1810408 | 1781812 || 973552 | 971979 | 969736 || 972211 | 973830 | 971741
