Group1; SecondsElapsed; DateTimePC; N91_NTC1 | N91_NTC2 | N91_TestSB || N93_NTC1 | N93_NTC2 | N93_TestSB || N29_NTC1 | N29_NTC2 | N29_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB || N99_NTC1 | N99_NTC2 | N99_TestSB
Group1; 297.415295; 2026-07-03 12:11:41.665257; 1283053 | 1280543 | 1280439 || 1286678 | 1281007 | 1281138 || 1285294 | 1287272 | 1281582 || 1285739 | 1286107 | 1283067 || 1287495 | 1284059 | 1282002
Group1; 308.855688; 2026-07-03 12:11:53.105650; 1283081 | 1280455 | 1279956 || 1286604 | 1281019 | 1281461 || 1285464 | 1287680 | 1281785 || 1285933 | 1286723 | 1282901 || 1287703 | 1284540 | 1282572
Group1; 320.295242; 2026-07-03 12:12:04.545204; 1283367 | 1281101 | 1280274 || 1287167 | 1281650 | 1281837 || 1285949 | 1287607 | 1281941 || 1285549 | 1286140 | 1282562 || 1287271 | 1284245 | 1282203
Group1; 331.733693; 2026-07-03 12:12:15.983655; 1283442 | 1281114 | 1280707 || 1286764 | 1281365 | 1281891 || 1285626 | 1287472 | 1281845 || 1285855 | 1286040 | 1282592 || 1287721 | 1284207 | 1282368
Group1; 343.173187; 2026-07-03 12:12:27.423149; 1283141 | 1280827 | 1280904 || 1286740 | 1281005 | 1281204 || 1285141 | 1287023 | 1281302 || 1284963 | 1285527 | 1281842 || 1286468 | 1284219 | 1281189
Group1; 354.596855; 2026-07-03 12:12:38.846817; 1282890 | 1280505 | 1280051 || 1286421 | 1281246 | 1280944 || 1284898 | 1287000 | 1281423 || 1284942 | 1286171 | 1282640 || 1286860 | 1283987 | 1281831
Group1; 366.036895; 2026-07-03 12:12:50.286857; 1282120 | 1280401 | 1279929 || 1286209 | 1280894 | 1280625 || 1284320 | 1286119 | 1280597 || 1284164 | 1285497 | 1281913 || 1285752 | 1283309 | 1281372
Group1; 377.47588; 2026-07-03 12:13:01.725842; 1281722 | 1279583 | 1279432 || 1285715 | 1280193 | 1280512 || 1284308 | 1285951 | 1280491 || 1283669 | 1284934 | 1281561 || 1285468 | 1282924 | 1281225
Group1; 388.915875; 2026-07-03 12:13:13.165837; 1281408 | 1278345 | 1278949 || 1285418 | 1279453 | 1280024 || 1284111 | 1285941 | 1280280 || 1283982 | 1285379 | 1282161 || 1285807 | 1283350 | 1281551
Group1; 400.355425; 2026-07-03 12:13:24.605387; 1281996 | 1278944 | 1279070 || 1285833 | 1279978 | 1280067 || 1284389 | 1286253 | 1280514 || 1284425 | 1285585 | 1282289 || 1285996 | 1283652 | 1281534
Group1; 411.778627; 2026-07-03 12:13:36.028589; 1282324 | 1278438 | 1278986 || 1286121 | 1279405 | 1280209 || 1284711 | 1286498 | 1280905 || 1284943 | 1286422 | 1283262 || 1286172 | 1284239 | 1282438
Group1; 423.218511; 2026-07-03 12:13:47.468473; 1282979 | 1279841 | 1279497 || 1286702 | 1280780 | 1280504 || 1284543 | 1286498 | 1280872 || 1284567 | 1285912 | 1282474 || 1286336 | 1283983 | 1281420
Group1; 434.657974; 2026-07-03 12:13:58.907936; 1282463 | 1279360 | 1279236 || 1286447 | 1280302 | 1280578 || 1285251 | 1287338 | 1281264 || 1285021 | 1286463 | 1282865 || 1286646 | 1284221 | 1282032
