Group1; SecondsElapsed; DateTimePC; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group1; 283.682109; 2026-07-03 19:09:34.802822; 1287574 | 1281453 | 1283415 || 1281892 | 1284885 | 1284840 || 1280862 | 1285371 | 1285530 || 1282280 | 1281359 | 1281158
Group1; 292.833963; 2026-07-03 19:09:43.954676; 1287345 | 1281027 | 1283025 || 1281862 | 1284788 | 1284662 || 1280672 | 1285169 | 1285628 || 1282149 | 1281561 | 1281525
Group1; 301.969644; 2026-07-03 19:09:53.090357; 1287546 | 1281112 | 1283132 || 1281798 | 1285227 | 1285079 || 1281017 | 1285880 | 1285893 || 1282634 | 1281806 | 1281644
Group1; 311.121285; 2026-07-03 19:10:02.241998; 1287787 | 1281385 | 1283323 || 1282292 | 1285532 | 1285312 || 1281421 | 1286005 | 1286420 || 1282916 | 1282216 | 1282151
Group1; 320.272845; 2026-07-03 19:10:11.393558; 1288196 | 1281773 | 1283889 || 1282575 | 1285765 | 1285555 || 1281650 | 1286479 | 1286558 || 1283331 | 1282695 | 1282646
Group1; 329.425023; 2026-07-03 19:10:20.545736; 1288617 | 1282251 | 1284172 || 1282853 | 1286052 | 1285900 || 1281812 | 1286727 | 1286943 || 1283572 | 1283038 | 1282823
Group1; 338.576591; 2026-07-03 19:10:29.697304; 1288817 | 1282399 | 1284402 || 1283102 | 1286589 | 1286447 || 1282373 | 1287162 | 1287388 || 1283883 | 1283154 | 1282681
Group1; 347.728104; 2026-07-03 19:10:38.848817; 1288869 | 1282548 | 1284561 || 1282935 | 1285963 | 1285964 || 1281708 | 1286563 | 1286625 || 1283135 | 1282580 | 1282109
Group1; 356.879668; 2026-07-03 19:10:48.000381; 1288394 | 1282029 | 1284091 || 1282668 | 1285280 | 1285384 || 1281317 | 1285657 | 1286017 || 1282687 | 1281994 | 1282164
Group1; 366.031203; 2026-07-03 19:10:57.151916; 1287972 | 1281548 | 1283721 || 1282345 | 1284728 | 1284968 || 1280860 | 1285310 | 1285764 || 1282280 | 1281714 | 1281661
