Group1; SecondsElapsed; DateTimePC; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group1; 283.677972; 2026-07-06 07:07:13.966686; 1378551 | 1372841 | 1373759 || 1370637 | 1370106 | 1371251 || 1366803 | 1369581 | 1369844 || 1366352 | 1364685 | 1361968
Group1; 292.829478; 2026-07-06 07:07:23.118192; 1371581 | 1364039 | 1366069 || 1363610 | 1362953 | 1363713 || 1359529 | 1362096 | 1362613 || 1358953 | 1357566 | 1355537
Group1; 301.965264; 2026-07-06 07:07:32.253978; 1363878 | 1357409 | 1359773 || 1355255 | 1355147 | 1356170 || 1352135 | 1354288 | 1354585 || 1351705 | 1349781 | 1347186
Group1; 311.116903; 2026-07-06 07:07:41.405617; 1356122 | 1349711 | 1350886 || 1348820 | 1347189 | 1348662 || 1344502 | 1346439 | 1346980 || 1343234 | 1341438 | 1338344
Group1; 320.268432; 2026-07-06 07:07:50.557146; 1347737 | 1341043 | 1342536 || 1339818 | 1338895 | 1340284 || 1336215 | 1338330 | 1337887 || 1335094 | 1333648 | 1329946
Group1; 329.419907; 2026-07-06 07:07:59.708621; 1338769 | 1333138 | 1333925 || 1331391 | 1331130 | 1331855 || 1328095 | 1329481 | 1330232 || 1326927 | 1324813 | 1322466
Group1; 338.571488; 2026-07-06 07:08:08.860202; 1331124 | 1325787 | 1326460 || 1323779 | 1323245 | 1324582 || 1320006 | 1322432 | 1322543 || 1318947 | 1317768 | 1314595
Group1; 347.723186; 2026-07-06 07:08:18.011900; 1323923 | 1317609 | 1319567 || 1316201 | 1315664 | 1317259 || 1312433 | 1314331 | 1314757 || 1311572 | 1309514 | 1307382
Group1; 356.874693; 2026-07-06 07:08:27.163407; 1316186 | 1310079 | 1312050 || 1308267 | 1308180 | 1309560 || 1305129 | 1307230 | 1307754 || 1304211 | 1302248 | 1300230
Group1; 366.010285; 2026-07-06 07:08:36.298999; 1308685 | 1303594 | 1304752 || 1301216 | 1301380 | 1302364 || 1297683 | 1299866 | 1301031 || 1297129 | 1295142 | 1292911
Group1; 375.161872; 2026-07-06 07:08:45.450586; 1301517 | 1295948 | 1296817 || 1293400 | 1293193 | 1293810 || 1290263 | 1292475 | 1291768 || 1289326 | 1287189 | 1285094
Group1; 384.313427; 2026-07-06 07:08:54.602141; 1293791 | 1288135 | 1288750 || 1286214 | 1285228 | 1286606 || 1282113 | 1284697 | 1285152 || 1281310 | 1279792 | 1277429
Group1; 393.465086; 2026-07-06 07:09:03.753800; 1285734 | 1280130 | 1281512 || 1278217 | 1277711 | 1279385 || 1274679 | 1276593 | 1277037 || 1274254 | 1271419 | 1269079
Group1; 402.61678; 2026-07-06 07:09:12.905494; 1278299 | 1272374 | 1273753 || 1270433 | 1270310 | 1271992 || 1266331 | 1268803 | 1269342 || 1266027 | 1263975 | 1261540
Group1; 411.768117; 2026-07-06 07:09:22.056831; 1270810 | 1263642 | 1266055 || 1263182 | 1263151 | 1264027 || 1259681 | 1261453 | 1262005 || 1258358 | 1256716 | 1254745
Group1; 420.919746; 2026-07-06 07:09:31.208460; 1262771 | 1256511 | 1258782 || 1255227 | 1255583 | 1256461 || 1252079 | 1253691 | 1255154 || 1251461 | 1248855 | 1247230
Group1; 430.055495; 2026-07-06 07:09:40.344209; 1255515 | 1249289 | 1251267 || 1248298 | 1247948 | 1249304 || 1245423 | 1247199 | 1247257 || 1243877 | 1241806 | 1240009
Group1; 439.207116; 2026-07-06 07:09:49.495830; 1248099 | 1242232 | 1243966 || 1240210 | 1240061 | 1241421 || 1236882 | 1239458 | 1239714 || 1236410 | 1234257 | 1232226
Group1; 448.358575; 2026-07-06 07:09:58.647289; 1240286 | 1234217 | 1236201 || 1232367 | 1232683 | 1234042 || 1229613 | 1231682 | 1231817 || 1228963 | 1226688 | 1224322
Group1; 457.510504; 2026-07-06 07:10:07.799218; 1232967 | 1226594 | 1228261 || 1225717 | 1225002 | 1226061 || 1222180 | 1224068 | 1224299 || 1221342 | 1219146 | 1216911
Group1; 466.661718; 2026-07-06 07:10:16.950432; 1225362 | 1219234 | 1220589 || 1218271 | 1217238 | 1218720 || 1214644 | 1216090 | 1216395 || 1213653 | 1211902 | 1209599
Group1; 475.813222; 2026-07-06 07:10:26.101936; 1218014 | 1211668 | 1213050 || 1210897 | 1209539 | 1210938 || 1207870 | 1209035 | 1209507 || 1206184 | 1204397 | 1202233
Group1; 484.965056; 2026-07-06 07:10:35.253770; 1210288 | 1204309 | 1205959 || 1203121 | 1202680 | 1203598 || 1199540 | 1201522 | 1201922 || 1199032 | 1197266 | 1195138
Group1; 494.100502; 2026-07-06 07:10:44.389216; 1203463 | 1197255 | 1198893 || 1196502 | 1195454 | 1196685 || 1193047 | 1195361 | 1195095 || 1192158 | 1190302 | 1188098
Group1; 503.252205; 2026-07-06 07:10:53.540919; 1195887 | 1190309 | 1191995 || 1188833 | 1188736 | 1190259 || 1185528 | 1187822 | 1187738 || 1184741 | 1182893 | 1180404
Group1; 512.40354; 2026-07-06 07:11:02.692254; 1188661 | 1182937 | 1184378 || 1181641 | 1181562 | 1182448 || 1178772 | 1180401 | 1180013 || 1177738 | 1175446 | 1172736
Group1; 521.555341; 2026-07-06 07:11:11.844055; 1181255 | 1176981 | 1176831 || 1173664 | 1173580 | 1174982 || 1170482 | 1172718 | 1173546 || 1169577 | 1167956 | 1165641
Group1; 530.706734; 2026-07-06 07:11:20.995448; 1173146 | 1167450 | 1169923 || 1165956 | 1166524 | 1167750 || 1162765 | 1165854 | 1165994 || 1162451 | 1160991 | 1158767
Group1; 539.859064; 2026-07-06 07:11:30.147778; 1166148 | 1160724 | 1162137 || 1158821 | 1158994 | 1160357 || 1155786 | 1157916 | 1158501 || 1155439 | 1153244 | 1151933
Group1; 549.010161; 2026-07-06 07:11:39.298875; 1159178 | 1153637 | 1155723 || 1152137 | 1151960 | 1153511 || 1148845 | 1151181 | 1150984 || 1148553 | 1146193 | 1143805
Group1; 558.161488; 2026-07-06 07:11:48.450202; 1152463 | 1146835 | 1147296 || 1145263 | 1144943 | 1145770 || 1142449 | 1144297 | 1144644 || 1142283 | 1139535 | 1137448
Group2; SecondsElapsed; DateTimePC; N92_NTC1 | N92_NTC2 | N92_TestSB || N93_NTC1 | N93_NTC2 | N93_TestSB || N94_NTC1 | N94_NTC2 | N94_TestSB || N96_NTC1 | N96_NTC2 | N96_TestSB
Group2; 558.219829; 2026-07-06 07:11:48.508543; New Node Array: 92 93 94 96
Group2; 558.219962; 2026-07-06 07:11:48.508676; 
Group2; 567.355185; 2026-07-06 07:11:57.643899; N92_NTC1 | N92_NTC2 | N92_TestSB || N93_NTC1 | N93_NTC2 | N93_TestSB || N94_NTC1 | N94_NTC2 | N94_TestSB || N96_NTC1 | N96_NTC2 | N96_TestSB
Group2; 576.507047; 2026-07-06 07:12:06.795761; 1132659 | 1130606 | 1132039 || 1133502 | 1129308 | 1127177 || 1132060 | 1129423 | 1129788 || 1127542 | 1128965 | 1123990
Group2; 585.658273; 2026-07-06 07:12:15.946987; 1125705 | 1123960 | 1126436 || 1127489 | 1123331 | 1121036 || 1125950 | 1123484 | 1124031 || 1122164 | 1123310 | 1118617
Group2; 594.794038; 2026-07-06 07:12:25.082752; 1120576 | 1118925 | 1121585 || 1122135 | 1118344 | 1116424 || 1120765 | 1118282 | 1119064 || 1117069 | 1118444 | 1114347
Group2; 603.944467; 2026-07-06 07:12:34.233181; 1115730 | 1114537 | 1116926 || 1118154 | 1113874 | 1112693 || 1116648 | 1114437 | 1115558 || 1113387 | 1114301 | 1110151
Group2; 613.082293; 2026-07-06 07:12:43.371007; 1112056 | 1110355 | 1113260 || 1113972 | 1110490 | 1108994 || 1112782 | 1111130 | 1111993 || 1109909 | 1111354 | 1107249
Group2; 622.226682; 2026-07-06 07:12:52.515396; 1108602 | 1107273 | 1109721 || 1110241 | 1106888 | 1105833 || 1109373 | 1107905 | 1109017 || 1106918 | 1108229 | 1104098
Group2; 631.373923; 2026-07-06 07:13:01.662637; 1105464 | 1103984 | 1106798 || 1107376 | 1103832 | 1102236 || 1106141 | 1104472 | 1105113 || 1103128 | 1104586 | 1100576
Group2; 640.523308; 2026-07-06 07:13:10.812022; 1101746 | 1100780 | 1103487 || 1104539 | 1100158 | 1098761 || 1103257 | 1100667 | 1101573 || 1099621 | 1101032 | 1096997
Group2; 649.673817; 2026-07-06 07:13:19.962531; 1098443 | 1097219 | 1100008 || 1100698 | 1097203 | 1095852 || 1099697 | 1097282 | 1097990 || 1095878 | 1096741 | 1093123
Group2; 658.808609; 2026-07-06 07:13:29.097323; 1094199 | 1093180 | 1095766 || 1096659 | 1093041 | 1091398 || 1095205 | 1093479 | 1094274 || 1092257 | 1093780 | 1089364
Group2; 667.959651; 2026-07-06 07:13:38.248365; 1090778 | 1089666 | 1091728 || 1093010 | 1089292 | 1087969 || 1091799 | 1089858 | 1091020 || 1088828 | 1089868 | 1085752
Group2; 677.111443; 2026-07-06 07:13:47.400157; 1087024 | 1085625 | 1088455 || 1089196 | 1085999 | 1084812 || 1088396 | 1086849 | 1087545 || 1085619 | 1086757 | 1082347
Group2; 686.26268; 2026-07-06 07:13:56.551394; 1084206 | 1082486 | 1085240 || 1086431 | 1082826 | 1081573 || 1085309 | 1083677 | 1084158 || 1082194 | 1083405 | 1079782
Group2; 695.414257; 2026-07-06 07:14:05.702971; 1080729 | 1079925 | 1082826 || 1083551 | 1080349 | 1078733 || 1082742 | 1080907 | 1081867 || 1079904 | 1081468 | 1077725
Group2; 704.565785; 2026-07-06 07:14:14.854499; 1078666 | 1077597 | 1080221 || 1081044 | 1077629 | 1076637 || 1080124 | 1078468 | 1079675 || 1077462 | 1078953 | 1075343
Group2; 713.717196; 2026-07-06 07:14:24.005910; 1076338 | 1075568 | 1078168 || 1078967 | 1075697 | 1074576 || 1078134 | 1076786 | 1077568 || 1075864 | 1077253 | 1073734
Group2; 722.868951; 2026-07-06 07:14:33.157665; 1074550 | 1073877 | 1076307 || 1077293 | 1073871 | 1072380 || 1076127 | 1074480 | 1075589 || 1073463 | 1074991 | 1071666
Group2; 732.004386; 2026-07-06 07:14:42.293100; 1072190 | 1071748 | 1074653 || 1075396 | 1072189 | 1070935 || 1074629 | 1073179 | 1073926 || 1072098 | 1073594 | 1070081
Group2; 741.156193; 2026-07-06 07:14:51.444907; 1070588 | 1070155 | 1073222 || 1073739 | 1070641 | 1069107 || 1072827 | 1071428 | 1072455 || 1070063 | 1071431 | 1067912
Group2; 750.307712; 2026-07-06 07:15:00.596426; 1068723 | 1067976 | 1071211 || 1071529 | 1068648 | 1067708 || 1071036 | 1069447 | 1070275 || 1068161 | 1069650 | 1066273
Group2; 759.459286; 2026-07-06 07:15:09.748000; 1067033 | 1066375 | 1069123 || 1069976 | 1066599 | 1065551 || 1069133 | 1067652 | 1068691 || 1066567 | 1067912 | 1064328
Group2; 768.611216; 2026-07-06 07:15:18.899930; 1065376 | 1064491 | 1067155 || 1067836 | 1064494 | 1063257 || 1066891 | 1065405 | 1066722 || 1064417 | 1065862 | 1062039
Group2; 777.762613; 2026-07-06 07:15:28.051327; 1063188 | 1062142 | 1064956 || 1065698 | 1062291 | 1061058 || 1064627 | 1063136 | 1064338 || 1062187 | 1063777 | 1060098
Group2; 786.91442; 2026-07-06 07:15:37.203134; 1060947 | 1060306 | 1063229 || 1063693 | 1060346 | 1058996 || 1062854 | 1061010 | 1061843 || 1060015 | 1061563 | 1058189
Group2; 796.049742; 2026-07-06 07:15:46.338456; 1058854 | 1058238 | 1061237 || 1061731 | 1058895 | 1057592 || 1061124 | 1059508 | 1060349 || 1058479 | 1059978 | 1056739
Group2; 805.20174; 2026-07-06 07:15:55.490454; 1057373 | 1056893 | 1060060 || 1060581 | 1057698 | 1056491 || 1059838 | 1058606 | 1059488 || 1057294 | 1058889 | 1055561
Group2; 814.353028; 2026-07-06 07:16:04.641742; 1056268 | 1055649 | 1058362 || 1059203 | 1056070 | 1055072 || 1058444 | 1057144 | 1058404 || 1056310 | 1057961 | 1054212
Group2; 823.504721; 2026-07-06 07:16:13.793435; 1055135 | 1054477 | 1057395 || 1058005 | 1055167 | 1054148 || 1057481 | 1056262 | 1057861 || 1055574 | 1057181 | 1053587
Group2; 832.656343; 2026-07-06 07:16:22.945057; 1054497 | 1053680 | 1056497 || 1057179 | 1054240 | 1053307 || 1056656 | 1055297 | 1056663 || 1054274 | 1056035 | 1053085
Group2; 841.808057; 2026-07-06 07:16:32.096771; 1053446 | 1053046 | 1056215 || 1056613 | 1053913 | 1052951 || 1056146 | 1054594 | 1055728 || 1053625 | 1055276 | 1051922
Group2; 850.959422; 2026-07-06 07:16:41.248136; 1052489 | 1051928 | 1054914 || 1055480 | 1052627 | 1051775 || 1054898 | 1053556 | 1054559 || 1052467 | 1054181 | 1051011
Group2; 860.095283; 2026-07-06 07:16:50.383997; 1051429 | 1051067 | 1053707 || 1054390 | 1051410 | 1050356 || 1053639 | 1052453 | 1053875 || 1051687 | 1053280 | 1049429
Group2; 869.246886; 2026-07-06 07:16:59.535600; 1050352 | 1049758 | 1052754 || 1053262 | 1050267 | 1049084 || 1052509 | 1051093 | 1052389 || 1050213 | 1051799 | 1048389
Group2; 878.398568; 2026-07-06 07:17:08.687282; 1049057 | 1048503 | 1051581 || 1052078 | 1049252 | 1048197 || 1051526 | 1050238 | 1051459 || 1049331 | 1051006 | 1047443
Group2; 887.549988; 2026-07-06 07:17:17.838702; 1048206 | 1047496 | 1050376 || 1050969 | 1048010 | 1046975 || 1050252 | 1049038 | 1050574 || 1048232 | 1049901 | 1046409
Group2; 896.701778; 2026-07-06 07:17:26.990492; 1047251 | 1046424 | 1049308 || 1049831 | 1046971 | 1046064 || 1049240 | 1048062 | 1049560 || 1047342 | 1048764 | 1045441
Group2; 905.853268; 2026-07-06 07:17:36.141982; 1046154 | 1045576 | 1048911 || 1049383 | 1046603 | 1045376 || 1048831 | 1047375 | 1048514 || 1046450 | 1048016 | 1044941
Group2; 915.004941; 2026-07-06 07:17:45.293655; 1045436 | 1045160 | 1048315 || 1048920 | 1046173 | 1044701 || 1048291 | 1046865 | 1048014 || 1045818 | 1047541 | 1044251
Group2; 924.140562; 2026-07-06 07:17:54.429276; 1044714 | 1044370 | 1047401 || 1047986 | 1045202 | 1044421 || 1047564 | 1046394 | 1047526 || 1045450 | 1046966 | 1043849
Group2; 933.292316; 2026-07-06 07:18:03.581030; 1044367 | 1044004 | 1047328 || 1047849 | 1045187 | 1044045 || 1047455 | 1046034 | 1046952 || 1044764 | 1046575 | 1043454
Group2; 942.444049; 2026-07-06 07:18:12.732763; 1043554 | 1043586 | 1046791 || 1047207 | 1044718 | 1043793 || 1046906 | 1045761 | 1046955 || 1044812 | 1046516 | 1043220
Group2; 951.595302; 2026-07-06 07:18:21.884016; 1043755 | 1043276 | 1046307 || 1046884 | 1043874 | 1042869 || 1046143 | 1044960 | 1046279 || 1044190 | 1045831 | 1042494
Group2; 960.747005; 2026-07-06 07:18:31.035719; 1042996 | 1042552 | 1045554 || 1046048 | 1043236 | 1042401 || 1045590 | 1044342 | 1045708 || 1043468 | 1045146 | 1041890
Group2; 969.898693; 2026-07-06 07:18:40.187407; 1042395 | 1041751 | 1044937 || 1045298 | 1042543 | 1041663 || 1044944 | 1043750 | 1045221 || 1043101 | 1044826 | 1041285
Group2; 979.050225; 2026-07-06 07:18:49.338939; 1042105 | 1041362 | 1044237 || 1044808 | 1041998 | 1041209 || 1044258 | 1043312 | 1044928 || 1042584 | 1044117 | 1040533
Group2; 988.201889; 2026-07-06 07:18:58.490603; 1041503 | 1040461 | 1043620 || 1044097 | 1041512 | 1040757 || 1043851 | 1042730 | 1044145 || 1041963 | 1043645 | 1040325
Group2; 997.337672; 2026-07-06 07:19:07.626386; 1040899 | 1040540 | 1043499 || 1044163 | 1041320 | 1040518 || 1043521 | 1042433 | 1043978 || 1041725 | 1043665 | 1040380
Group2; 1006.489297; 2026-07-06 07:19:16.778011; 1040824 | 1040294 | 1043117 || 1043598 | 1040879 | 1040404 || 1043170 | 1042247 | 1043820 || 1041482 | 1043209 | 1039651
Group2; 1015.64091; 2026-07-06 07:19:25.929624; 1040444 | 1039808 | 1043033 || 1043461 | 1040764 | 1039900 || 1043087 | 1041936 | 1043163 || 1040921 | 1042531 | 1039478
Group2; 1024.792336; 2026-07-06 07:19:35.081050; 1039877 | 1039534 | 1042608 || 1043065 | 1040329 | 1039517 || 1042552 | 1041390 | 1042657 || 1040536 | 1042146 | 1039065
