Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB || N26_NTC1 | N26_NTC2 | N26_TestSB || N28_NTC1 | N28_NTC2 | N28_TestSB || N35_NTC1 | N35_NTC2 | N35_TestSB || N62_NTC1 | N62_NTC2 | N62_TestSB || N85_NTC1 | N85_NTC2 | N85_TestSB || N86_NTC1 | N86_NTC2 | N86_TestSB || N87_NTC1 | N87_NTC2 | N87_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB
Group1; 0.089067; 2026-07-07 10:44:45.276183; New Node Array: 95 13 18 19 25 26 28 35 62 85 86 87 98; TOFFMS=0
Group1; 0.840575; 2026-07-07 10:44:46.027691; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB || N26_NTC1 | N26_NTC2 | N26_TestSB || N28_NTC1 | N28_NTC2 | N28_TestSB || N35_NTC1 | N35_NTC2 | N35_TestSB || N62_NTC1 | N62_NTC2 | N62_TestSB || N85_NTC1 | N85_NTC2 | N85_TestSB || N86_NTC1 | N86_NTC2 | N86_TestSB || N87_NTC1 | N87_NTC2 | N87_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB; TOFFMS=0|752|1520|2272|3040|3808|4560|5328|6096|6848|7616|8384|9136|9904|10672|11424|12192|12960|13711|14480|15248|16000|16768|17535|18287|19056|19807|20575|21343|22095|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 30.567768; 2026-07-07 10:45:15.754884; 1027886 | 1029877 | 1029958 || 1028496 | 1028299 | 1030724 || 1029537 | 1028312 | 1028789 || 1029781 | 1027654 | 1027903 || 1027965 | 1029736 | 1030487 || 1028692 | 1030161 | 1030538 || 1027994 | 16777216 | 1030689 || 1033160 | 1029410 | 1027556 || 1029157 | 1032751 | 1031247 || 1031261 | 1028805 | 1029241 || 1032022 | 1032118 | 1030602 || 1031966 | 1031330 | 1031146 || 1032046 | 1033385 | 1030623; TOFFMS=0|768|1520|2288|3056|3808|4576|5327|6095|6864|7615|8383|9152|9904|10671|11439|12191|12959|13727|14479|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 60.294373; 2026-07-07 10:45:45.481489; 1030882 | 1032919 | 1033047 || 1031460 | 1031421 | 1034004 || 1032753 | 1031571 | 1032210 || 1032993 | 1030920 | 1031147 || 1031318 | 1032884 | 1033890 || 1031901 | 1033293 | 1033723 || 1031320 | 16777216 | 1033789 || 1036502 | 1032588 | 1030965 || 1032584 | 1036271 | 1034705 || 1034684 | 1032247 | 1032728 || 1035208 | 1034947 | 1033604 || 1034439 | 1033907 | 1033826 || 1034681 | 1035903 | 1032948; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8400|9152|9920|10687|11440|12207|12959|13728|14495|15247|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25935|26687|27455|28223|28975
Group1; 90.037215; 2026-07-07 10:46:15.224331; 1033085 | 1034713 | 1034734 || 1033175 | 1032922 | 1035229 || 1034873 | 1033792 | 1033386 || 1034235 | 1031261 | 1031356 || 1031332 | 1032430 | 1033233 || 1030994 | 1032105 | 1032395 || 1029008 | 16777216 | 1030553 || 1033427 | 1028993 | 1026873 || 1028364 | 1031555 | 1029406 || 1031043 | 1028039 | 1029999 || 1030060 | 1028167 | 1027014 || 1027050 | 1026294 | 1025587 || 1027097 | 1027455 | 1024351; TOFFMS=0|768|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9903|10672|11439|12192|12959|13727|14479|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 119.764148; 2026-07-07 10:46:44.951264; 1024285 | 1025746 | 1025786 || 1023878 | 1023234 | 1024958 || 1027430 | 1026836 | 1023468 || 1023978 | 1019770 | 1019813 || 1019624 | 1020424 | 1021010 || 1019013 | 1019727 | 1020085 || 1016911 | 16777216 | 1018161 || 1021056 | 1016582 | 1014405 || 1015824 | 1018804 | 1017102 || 1019416 | 1015822 | 1017566 || 1017706 | 1016015 | 1014728 || 1015183 | 1013981 | 1013683 || 1015022 | 1015662 | 1012726; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8399|9152|9919|10687|11439|12207|12959|13727|14495|15248|16015|16783|17535|18303|19072|19823|20591|21359|22111|22879|23647|24399|25167|25935|26687|27455|28223|28975
Group1; 149.50684; 2026-07-07 10:47:14.693956; 1012690 | 1014017 | 1013604 || 1012788 | 1011706 | 1013795 || 1016114 | 1014194 | 1012799 || 1013163 | 1009866 | 1010042 || 1009904 | 1010779 | 1011417 || 1009409 | 1010252 | 1010538 || 1007540 | 16777216 | 1009732 || 1012378 | 1008183 | 1006277 || 1007648 | 1010778 | 1008934 || 1010363 | 1007506 | 1009064 || 1009244 | 1007819 | 1006673 || 1007003 | 1006504 | 1006174 || 1007301 | 1007815 | 1004404; TOFFMS=0|768|1520|2288|3056|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11440|12192|12959|13728|14480|15247|16015|16767|17535|18303|19055|19824|20591|21343|22111|22879|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 179.233634; 2026-07-07 10:47:44.420750; 1005131 | 1006279 | 1005841 || 1004347 | 1003887 | 1005550 || 1007543 | 1006599 | 1003941 || 1004985 | 1001605 | 1001496 || 1001622 | 1002127 | 1002521 || 1000753 | 1001331 | 1001669 || 998765 | 16777216 | 1000174 || 1003084 | 998763 | 996371 || 997711 | 1000757 | 998764 || 1001000 | 997527 | 998709 || 999252 | 997418 | 995981 || 996075 | 995118 | 994379 || 995999 | 996304 | 993274; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8400|9152|9920|10688|11440|12208|12975|13728|14496|15248|16015|16784|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25935|26687|27455|28223|28975
Group1; 208.976426; 2026-07-07 10:48:14.163542; 993369 | 994148 | 993846 || 992885 | 991803 | 992930 || 996919 | 995874 | 991139 || 993036 | 988664 | 988005 || 988351 | 9; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152
