Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB || N26_NTC1 | N26_NTC2 | N26_TestSB || N28_NTC1 | N28_NTC2 | N28_TestSB || N35_NTC1 | N35_NTC2 | N35_TestSB || N62_NTC1 | N62_NTC2 | N62_TestSB || N85_NTC1 | N85_NTC2 | N85_TestSB || N86_NTC1 | N86_NTC2 | N86_TestSB || N87_NTC1 | N87_NTC2 | N87_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB
Group1; 863.065504; 2026-07-07 11:20:40.776204; 1337138 | 1340033 | 1340810 || 1338512 | 1338473 | 1342380 || 1337313 | 1335802 | 1339535 || 1341488 | 1340455 | 1341482 || 1341787 | 1344766 | 1346590 || 1344310 | 1346694 | 1347869 || 1345212 | 16777216 | 1348371 || 1352172 | 1348065 | 1345871 || 1348431 | 1353858 | 1351248 || 1349452 | 1346898 | 1346074 || 1353199 | 1354959 | 1352711 || 1355874 | 1355511 | 1355428 || 1357020 | 1359499 | 1355999; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7631|8384|9152|9919|10671|11439|12207|12959|13727|14495|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 892.808065; 2026-07-07 11:21:10.518765; 1356648 | 1359600 | 1360215 || 1358094 | 1358499 | 1363092 || 1356712 | 1352393 | 1360725 || 1360807 | 1359593 | 1360944 || 1361412 | 1364433 | 1366748 || 1363716 | 1366464 | 1367488 || 1365302 | 16777216 | 1369490 || 1372088 | 1368010 | 1365506 || 1368608 | 1373820 | 1371163 || 1369808 | 1366442 | 1365999 || 1373324 | 1374901 | 1371786 || 1376434 | 1375736 | 1376231 || 1377102 | 1379541 | 1374889; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6848|7616|8384|9136|9904|10672|11424|12192|12960|13712|14480|15248|16000|16767|17535|18287|19055|19823|20575|21343|22111|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 922.535087; 2026-07-07 11:21:40.245787; 1377029 | 1380072 | 1380075 || 1378809 | 1378909 | 1382641 || 1377601 | 1373796 | 1379996 || 1380916 | 1380342 | 1382017 || 1381730 | 1384588 | 1387017 || 1384099 | 1387008 | 1387593 || 1385470 | 16777216 | 1388272 || 1392637 | 1387998 | 1385309 || 1388036 | 1393961 | 1391817 || 1389915 | 1387195 | 1385308 || 1393098 | 1395248 | 1392700 || 1396461 | 1395428 | 1395232 || 1397096 | 1399734 | 1396161; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7631|8384|9152|9919|10672|11439|12207|12959|13728|14495|15247|16015|16767|17535|18303|19055|19823|20592|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 952.277758; 2026-07-07 11:22:09.988458; 1397256 | 1400577 | 1400958 || 1398549 | 1399541 | 1402413 || 1397446 | 1395606 | 1399263 || 1401738 | 1401136 | 1401699 || 1402678 | 1405162 | 1407640 || 1404237 | 1407267 | 1408289 || 1405951 | 16777216 | 1409724 || 1412835 | 1408275 | 1406613 || 1408696 | 1414545 | 1412627 || 1410115 | 1408035 | 1407117 || 1413590 | 1415622 | 1413386 || 1416011 | 1415522 | 1416437 || 1417865 | 1420727 | 1416308; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11424|12192|12960|13712|14479|15248|15999|16767|17535|18287|19055|19823|20575|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 982.004804; 2026-07-07 11:22:39.715504; 1417928 | 1420863 | 1420953 || 1418733 | 1419288 | 1423404 || 1417700 | 1415208 | 1419493 || 1422392 | 1421126 | 1422437 || 1422575 | 1425457 | 1427611 || 1424449 | 1427472 | 1428746 || 1425916 | 16777216 | 1429873 || 1433032 | 1428611 | 1426702 || 1428833 | 1434780 | 1432857 || 1430547 | 1428111 | 1426624 || 1434045 | 1436196 | 1433491 || 1436355 | 1436482 | 1437648 || 1437687 | 1441027 | 1436990; TOFFMS=0|768|1520|2288|3056|3808|4576|5343|6095|6863|7632|8383|9151|9919|10671|11439|12207|12959|13727|14495|15247|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 1011.747288; 2026-07-07 11:23:09.457988; 1438061 | 1441355 | 1441806 || 1438892 | 1439755 | 1442973 || 1437837 | 1434111 | 1437646 || 1442501 | 1441170 | 1442616 || 1442675 | 1445969 | 1447973 || 1444835 | 1447842 | 1448489 || 1445889 | 16777216 | 1450289 || 1453438 | 1448962 | 1446220 || 1449646 | 1455020 | 1453740 || 1450766 | 1447732 | 1446788 || 1454328 | 1456753 | 1454190 || 1457649 | 1457194 | 1457358 || 1458732 | 1461493 | 1457509; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11439|12192|12960|13727|14479|15247|15999|16767|17535|18287|19056|19823|20575|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 1041.474129; 2026-07-07 11:23:39.184829; 1459111 | 1462155 | 1462211 || 1459427 | 1460505 | 1464540 || 1458171 | 1455846 | 1460731 || 1463114 | 1462121 | 1463631 || 1463906 | 1467166 | 1468072 || 1465690 | 1468963 | 1469436 || 1467195 | 16777216 | 1471342 || 1474573 | 1469946 | 1468191 || 1470221 | 1476561 | 1474345 || 1471686 | 1469324 | 1467759 || 1475620 | 1477743 | 1474388 || 1478727 | 1478039 | 1478213 || 1479989 | 1482621 | 1478113; TOFFMS=0|768|1536|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9920|10671|11439|12207|12960|13727|14496|15247|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25919|26687|27455|28207|28975
Group1; 1071.216626; 2026-07-07 11:24:08.927326; 1479988 | 1482968 | 1483200 || 1481335 | 1481812 | 1485241 || 1480245 | 1475620 | 1480618 || 1484379 | 1483461 | 1484707 || 1484929 | 1487953 | 1490582 || 1487023 | 1490226 | 1491516 || 1488744 | 16777216 | 1492146 || 1496549 | 1491134 | 1488975 || 1491908 | 1497860 | 1495133 || 1493255 | 1488902 | 1490153 || 1497418 | 1499272 | 1495766 || 1500199 | 1499480 | 1499961 || 1501483 | 1503914 | 1500326; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11440|12192|12960|13728|14480|15248|16016|16767|17535|18303|19055|19823|20591|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 1100.943499; 2026-07-07 11:24:38.654199; 1501815 | 1504906 | 1505318 || 1502621 | 1503790 | 1507190 || 1501426 | 1499651 | 1501345 || 1506149 | 1505255 | 1506602 || 1506982 | 1509665 | 1511831 || 1508617 | 1511825 | 1512614 || 1510265 | 16777216 | 1514654 || 1517995 | 1512997 | 1510261 || 1513344 | 1519891 | 1517656 || 1515208 | 1511486 | 1510408 || 1518575 | 1520545 | 1518212 || 1521822 | 1521161 | 1521246 || 1523234 | 1525935 | 1521425; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8400|9152|9920|10672|11440|12208|12960|13727|14495|15247|16016|16784|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25935|26687|27455|28223|28975
Group1; 1130.686351; 2026-07-07 11:25:08.397051; 1523629 | 1526656 | 1527417 || 1524543 | 1524249 | 1528827 || 1523538 | 1518838 | 1523367 || 1527943 | 1526362 | 1528763 || 1528553 | 1531731 | 1533889 || 1530818 | 1533847 | 1534962 || 1532345 | 16777216 | 1536409 || 1539807 | 1535207 | 1533213 || 1535632 | 1542345 | 1539742 || 1537371 | 1533816 | 1533390 || 1540886 | 1543539 | 1539176 || 1544472 | 1543461 | 1542528 || 1545403 | 1547784 | 1543623; TOFFMS=0|768|1520|2288|3056|3808|4576|5328|6096|6864|7616|8384|9151|9904|10672|11440|12191|12960|13727|14480|15247|16015|16767|17536|18303|19055|19823|20591|21343|22112|22879|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 1160.413255; 2026-07-07 11:25:38.123955; 1545718 | 1548445 | 1548829 || 1547074 | 1547687 | 1551329 || 1546028 | 1543287 | 1545088 || 1550020 | 1548988 | 1549446 || 1550859 | 1554271 | 1556762 || 1552630 | 1556149 | 1557759 || 1554939 | 16777216 | 1558398 || 1562674 | 1557224 | 1554471 || 1557907 | 1564214 | 1562110 || 1559373 | 1556192 | 1555008 || 1563265 | 1565465 | 1561780 || 1566983 | 1565606 | 1566094 || 1567547 | 1570243 | 1566428; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8400|9152|9920|10687|11440|12207|12959|13727|14495|15247|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25935|26687|27455|28223|28975
Group1; 1190.156061; 2026-07-07 11:26:07.866761; 1568366 | 1571527 | 1571869 || 1569670 | 1569911 | 1573555 || 1568329 | 1564766 | 1568550 || 1573067 | 1571557 | 1573256 || 1573437 | 1576334 | 1578108 || 1575345 | 1578423 | 1579269 || 1577273 | 16777216 | 1581553 || 1585447 | 1579734 | 1577074 || 1580895 | 1587306 | 1584320 || 1582361 | 1577648 | 1576922 || 1586375 | 1588285 | 1585013 || 1589727 | 1589216 | 1588268 || 1590986 | 1593514 | 1588420; TOFFMS=0|768|1520|2288|3055|3808|4576|5327|6096|6863|7615|8383|9151|9904|10671|11439|12191|12959|13727|14479|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25151|25919|26687|27439|28206|28975
Group1; 1219.882538; 2026-07-07 11:26:37.593238; 1590636 | 1593916 | 1594694 || 1592353 | 1591891 | 1595994 || 1591211 | 1586167 | 1588666 || 1595070 | 1594875 | 1596242 || 1596617 | 1599929 | 1601019 || 1598644 | 1601874 | 1603102 || 1600313 | 16777216 | 1603955 || 1608373 | 1602798 | 1600958 || 1603858 | 1610158 | 1607674 || 1604910 | 1601113 | 1600580 || 1609082 | 1611316 | 1608086 || 1612693 | 1612067 | 1612047 || 1613873 | 1616433 | 1611606; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8400|9152|9919|10688|11439|12207|12960|13727|14496|15247|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25935|26687|27455|28223|28975
Group1; 1249.625247; 2026-07-07 11:27:07.335947; 1613985 | 1616866 | 1617540 || 1615513 | 1615766 | 1620051 || 1613994 | 1607991 | 1616161 || 1618429 | 1617129 | 1616062 || 1618835 | 1622232 | 1622822 || 1621236 | 1624428 | 1623638 || 1623273 | 16777216 | 1627012 || 1631477 | 1625875 | 1623277 || 1626717 | 1633140 | 1631084 || 1627979 | 1624940 | 1622761 || 1631776 | 1634279 | 1630891 || 1635966 | 1634401 | 1634388 || 1636705 | 1639541 | 1634580; TOFFMS=0|768|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11439|12191|12959|13728|14480|15248|16015|16768|17535|18303|19055|19823|20591|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 1279.352001; 2026-07-07 11:27:37.062701; 1636836 | 1639942 | 1640957 || 1638123 | 1638233 | 1642603 || 1637027 | 1634301 | 1636807 || 1642016 | 1640934 | 1642346 || 1642404 | 1645631 | 1648299 || 1644499 | 1648373 | 1648646 || 1645862 | 16777216 | 1650450 || 1654692 | 1649219 | 1646439 || 1649708 | 1656206 | 1654056 || 1651135 | 1648357 | 1646707 || 1654995 | 1658409 | 1653933 || 1658542 | 1657134 | 1658310 || 1659686 | 1663145 | 1658564; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8400|9152|9920|10688|11440|12208|12959|13727|14496|15248|16016|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25935|26687|27455|28223|28975
Group1; 1309.094887; 2026-07-07 11:28:06.805587; 1660004 | 1664083 | 1664059 || 1661987 | 1661714 | 1666425 || 1660205 | 1654791 | 1660834 || 1665367 | 1664232 | 1665735 || 1666077 | 1669400 | 1671888 || 1668009 | 1672135 | 1673209 || 1670207 | 16777216 | 1674189 || 1678449 | 1672787 | 1670143 || 1673437 | 1680785 | 1678058 || 1675232 | 1671113 | 1670223 || 1678947 | 1681324 | 1677939 || 1682699 | 1682232 | 1682384 || 1684090 | 1687243 | 1682426; TOFFMS=0|768|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10671|11439|12191|12959|13728|14479|15248|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 1338.822084; 2026-07-07 11:28:36.532784; 1683938 | 1687366 | 1688076 || 1685392 | 1686357 | 1689871 || 1684201 | 1678945 | 1682697 || 1688764 | 1688218 | 1689463 || 1690225 | 1693462 | 1695769 || 1692302 | 1695829 | 1695981 || 1694405 | 16777216 | 1698302 || 1702753 | 1696708 | 1693981 || 1697979 | 1704152 | 1701452 || 1699163 | 1695390 | 1694390 || 1703443 | 1705456 | 1702639 || 1706763 | 1706071 | 1706652 || 1708210 | 1711547 | 1707029; TOFFMS=0|767|1535|2287|3055|3823|4575|5343|6111|6863|7631|8399|9151|9919|10687|11439|12207|12959|13727|14495|15247|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23646|24399|25166|25934|26687|27454|28222|28974
Group1; 1368.56455; 2026-07-07 11:29:06.275250; 1708935 | 1712703 | 1712626 || 1709509 | 1710272 | 1715035 || 1708349 | 1705236 | 1708273 || 1713988 | 1712938 | 1714454 || 1714884 | 1718058 | 1720293 || 1716930 | 1720359 | 1721702 || 1718704 | 16777216 | 1722323 || 1727336 | 1720964 | 1718391 || 1722199 | 1729071 | 1725238 || 1723953 | 1719277 | 1719100 || 1727466 | 1730401 | 1726527 || 1731648 | 1730755 | 1731422 || 1732026 | 1736102 | 1730782; TOFFMS=0|768|1520|2288|3056|3808|4576|5328|6096|6864|7616|8384|9151|9904|10671|11439|12191|12959|13727|14479|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27439|28207|28975
Group1; 1398.291393; 2026-07-07 11:29:36.002093; 1732676 | 1736641 | 1736572 || 1734202 | 1735459 | 1740074 || 1732517 | 1726637 | 1735168 || 1737338 | 1736651 | 1738193 || 1738788 | 1741985 | 1744323 || 1740316 | 1744165 | 1745711 || 1743095 | 16777216 | 1747857 || 1752262 | 1746464 | 1743319 || 1746591 | 1753771 | 1750013 || 1748122 | 1743648 | 1742833 || 1752772 | 1755450 | 1751833 || 1756516 | 1754897 | 1756536 || 1756892 | 1759760 | 1755830; TOFFMS=0|768|1536|2288|3056|3824|4576|5343|6112|6863|7631|8399|9151|9919|10687|11439|12207|12975|13727|14495|15263|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25166|25935|26686|27455|28222|28975
Group1; 1428.033899; 2026-07-07 11:30:05.744599; 1757395 | 1761486 | 1762721 || 1758962 | 1759961 | 1763480 || 1757580 | 1751595 | 1757261 || 1763286 | 1761809 | 1762977 || 1763496 | 1767536 | 1770073 || 1766147 | 1770031 | 1769965 || 1768248 | 16777216 | 1772140 || 1776973 | 1770013 | 1767728 || 1771617 | 1778512 | 1775937 || 1773644 | 1768879 | 1767667 || 1777007 | 1780135 | 1776237 || 1781444 | 1780640 | 1781073 || 1783264 | 1786198 | 1780687; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9904|10672|11440|12191|12960|13727|14479|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 1457.776501; 2026-07-07 11:30:35.487201; 1783214 | 1786552 | 1787737 || 1784404 | 1784132 | 1788952 || 1782756 | 1779201 | 1782888 || 1788310 | 1787538 | 1788336 || 1789393 | 1792417 | 1795081 || 1790793 | 1794605 | 1795864 || 1793388 | 16777216 | 1797549 || 1802319 | 1796490 | 1793640 || 1797031 | 1804410 | 1800873 || 1798088 | 1794676 | 1794892 || 1802656 | 1805280 | 1802115 || 1807069 | 1805642 | 1806492 || 1808393 | 1811824 | 1807361; TOFFMS=0|752|1520|2288|3040|3808|4560|5328|6096|6848|7616|8384|9136|9904|10672|11424|12192|12960|13712|14480|15247|15999|16767|17535|18287|19055|19807|20575|21343|22096|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 1487.503321; 2026-07-07 11:31:05.214021; 1808583 | 1811958 | 1811218 || 1809565 | 1810651 | 1814541 || 1807830 | 1804465 | 1809186 || 1813544 | 1812130 | 1813317 || 1814302 | 1818294 | 1820209 || 1817025 | 1820634 | 1822066 || 1818516 | 16777216 | 1823308 || 1827519 | 1821466 | 1818782 || 1822807 | 1829870 | 1826568 || 1823731 | 1819173 | 1818564 || 1828034 | 1831130 | 1826710 || 1832249 | 1831183 | 1832154 || 1833722 | 1836920 | 1831809; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9904|10672|11440|12192|12960|13727|14480|15247|16015|16767|17535|18304|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 1517.246223; 2026-07-07 11:31:34.956923; 1833695 | 1838045 | 1838131 || 1834685 | 1836117 | 1840823 || 1833135 | 1827536 | 1835806 || 1839351 | 1837759 | 1838441 || 1840150 | 1843553 | 1845851 || 1842022 | 1846222 | 1847489 || 1844147 | 16777216 | 1848728 || 1853101 | 1847019 | 1844580 || 1848217 | 1855793 | 1851377 || 1849363 | 1844179 | 1844659 || 1854103 | 1856414 | 1851664 || 1858363 | 1856483 | 1857806 || 1859144 | 1862861 | 1858415; TOFFMS=0|752|1520|2288|3040|3808|4560|5328|6096|6848|7616|8383|9136|9904|10671|11423|12192|12960|13711|14479|15247|15999|16767|17535|18287|19055|19823|20575|21343|22095|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 1546.972814; 2026-07-07 11:32:04.683514; 1860097 | 1864159 | 1864074 || 1860887 | 1860098 | 1863994 || 1858966 | 1852459 | 1856794 || 1861840 | 1857023 | 1856248 || 1857532 | 1859097 | 1860636 || 1856838 | 1859846 | 1860247 || 1856318 | 16777216 | 1860289 || 1864998 | 1857897 | 1854575 || 1857139 | 1863829 | 1860652 || 1860461 | 1856104 | 1857774 || 1861565 | 1861371 | 1858735 || 1860712 | 1859935 | 1860061 || 1862080 | 1863863 | 1859145; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9920|10672|11440|12207|12960|13727|14495|15247|16015|16768|17535|18304|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 1576.715499; 2026-07-07 11:32:34.426199; 1859681 | 1862751 | 1862306 || 1860345 | 1859908 | 1863239 || 1862194 | 1859951 | 1860328 || 1862483 | 1858340 | 1858763 || 1859623 | 1861750 | 1863375 || 1859536 | 1862476 | 1862900 || 1858797 | 16777216 | 1862596 || 1867573 | 1860230 | 1857054 || 1859729 | 1866699 | 1863474 || 1863599 | 1859213 | 1860548 || 1864681 | 1864642 | 1861970 || 1864172 | 1863057 | 1863088 || 1865244 | 1866942 | 1862310; TOFFMS=0|752|1520|2288|3040|3808|4576|5327|6094|6846|7613|8381|9132|9899|10667|11418|12186|12953|13705|14472|15241|15991|16759|17527|18279|19046|19814|20565|21333|22101|22853|23620|24372|25140|25908|26659|27427|28195|28947
Group1; 1606.430188; 2026-07-07 11:33:04.140888; 1862759 | 1865820 | 1865516 || 1863400 | 1862965 | 1866205 || 1865370 | 1863489 | 1863302 || 1865781 | 1861528 | 1861967 || 1862656 | 1864959 | 1866684 || 1862870 | 1865755 | 1866098 || 1862166 | 16777216 | 1865498 || 1870783 | 1863405 | 1860177 || 1863073 | 1869984 | 1866866 || 1867101 | 1862450 | 1863501 || 1867960 | 1867893 | 1864849 || 1867054 | 1866180 | 1866122 || 1868385 | 1870119 | 1865292; TOFFMS=0|768|1520|2288|3055|3807|4575|5343|6095|6863|7630|8382|9150|9918|10670|11438|12206|12958|13726|14494|15245|16014|16782|17534|18301|19053|19821|20589|21341|22109|22877|23629|24397|25164|25917|26685|27453|28204|28972
Group1; 1636.170485; 2026-07-07 11:33:33.881185; 1865925 | 1868899 | 1868700 || 1866437 | 1866089 | 1869899 || 1868525 | 1866636 | 1867051 || 1868930 | 1864836 | 1865170 || 1866055 | 1867925 | 1869527 || 1865965 | 1868850 | 1869306 || 1865947 | 16777216 | 1869458 || 1874461 | 1867028 | 1863648 || 1866603 | 1873455 | 1870031 || 1870304 | 1865814 | 1866952 || 1871270 | 1871668 | 1868442 || 1871070 | 1870017 | 1870035 || 1872260 | 1874011 | 1869056; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6863|7616|8384|9136|9903|10671|11424|12191|12959|13711|14479|15247|15999|16767|17535|18287|19055|19823|20575|21343|22111|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 1665.896894; 2026-07-07 11:34:03.607594; 1869803 | 1872946 | 1872714 || 1870386 | 1869852 | 1873011 || 1872225 | 1870313 | 1870254 || 1872528 | 1868266 | 1868781 || 1869447 | 1871700 | 1873410 || 1869485 | 1872495 | 1872914 || 1869110 | 16777216 | 1872769 || 1877908 | 1870740 | 1867494 || 1869944 | 1876897 | 1873711 || 1873767 | 1869384 | 1870606 || 1874748 | 1874809 | 1871916 || 1873890 | 1872929 | 1873179 || 1874925 | 1876843 | 1871963; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9920|10672|11440|12207|12959|13727|14495|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 1695.63969; 2026-07-07 11:34:33.350390; 1872754 | 1875945 | 1875747 || 1873535 | 1873163 | 1876614 || 1875417 | 1873530 | 1873485 || 1875765 | 1871681 | 1871987 || 1872906 | 1875332 | 1877096 || 1873225 | 1876479 | 1876890 || 1873101 | 16777216 | 1876478 || 1881247 | 1874259 | 1871185 || 1873270 | 1880603 | 1877588 || 1877202 | 1872998 | 1874040 || 1878304 | 1878367 | 1875481 || 1877942 | 1876907 | 1876780 || 1879044 | 1880549 | 1875896; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9136|9904|10672|11424|12192|12960|13711|14479|15247|15999|16767|17535|18287|19055|19823|20575|21343|22111|22863|23631|24399|25151|25919|26671|27439|28207|28959
Group1; 1725.3667; 2026-07-07 11:35:03.077400; 1876389 | 1879662 | 1879720 || 1877302 | 1876891 | 1879966 || 1879187 | 1877228 | 1876849 || 1879495 | 1875438 | 1876058 || 1876730 | 1878957 | 1880801 || 1877013 | 1879817 | 1880563 || 1876713 | 16777216 | 1880266 || 1885183 | 1878022 | 1874685 || 1877573 | 1884455 | 1881238 || 1881380 | 1877012 | 1877794 || 1882471 | 1882376 | 1879300 || 1881457 | 1880439 | 1880592 || 1882530 | 1884584 | 1879952; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7631|8384|9152|9919|10671|11439|12207|12959|13727|14495|15247|16015|16783|17535|18303|19071|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 1755.109346; 2026-07-07 11:35:32.820046; 1880602 | 1884115 | 1883918 || 1881580 | 1881407 | 1884467 || 1883209 | 1881509 | 1881005 || 1883727 | 1879520 | 1879922 || 1880804 | 1883032 | 1884549 || 1881119 | 1884102 | 1884080 || 1880773 | 16777216 | 1884686 || 1889285 | 1882052 | 1878813 || 1881315 | 1888446 | 1885435 || 1885167 | 1880839 | 1881905 || 1886348 | 1886443 | 1883568 || 1885724 | 1884788 | 1884728 || 1886912 | 1888810 | 1884346; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11440|12192|12960|13711|14479|15247|15999|16767|17535|18288|19055|19823|20575|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 1784.836246; 2026-07-07 11:36:02.546946; 1884629 | 1888009 | 1887570 || 1885328 | 1885098 | 1888634 || 1887168 | 1885304 | 1885540 || 1887628 | 1883495 | 1883987 || 1884810 | 1887147 | 1888383 || 1884960 | 1888180 | 1887902 || 1884569 | 16777216 | 1888496 || 1893539 | 1886215 | 1882878 || 1885849 | 1892946 | 1889536 || 1889544 | 1885278 | 1886068 || 1890533 | 1890936 | 1887512 || 1890417 | 1889319 | 1888944 || 1891497 | 1893508 | 1888961; TOFFMS=0|768|1536|2288|3056|3808|4576|5344|6096|6864|7632|8384|9151|9920|10671|11439|12208|12959|13727|14495|15248|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 1814.578952; 2026-07-07 11:36:32.289652; 1889338 | 1892608 | 1892101 || 1889752 | 1889733 | 1892985 || 1891538 | 1889692 | 1889693 || 1892379 | 1888263 | 1888955 || 1889594 | 1891810 | 1893430 || 1889917 | 1892897 | 1892980 || 1889546 | 16777216 | 1893784 || 1898309 | 1891193 | 1888027 || 1890313 | 1897765 | 1894647 || 1894197 | 1889754 | 1890803 || 1895160 | 1895263 | 1892397 || 1894627 | 1893630 | 1893860 || 1895907 | 1897766 | 1893158; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11439|12191|12960|13712|14479|15247|15999|16767|17535|18287|19055|19823|20575|21343|22112|22863|23631|24399|25151|25919|26687|27439|28207|28975
Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB || N26_NTC1 | N26_NTC2 | N26_TestSB || N28_NTC1 | N28_NTC2 | N28_TestSB || N35_NTC1 | N35_NTC2 | N35_TestSB || N62_NTC1 | N62_NTC2 | N62_TestSB || N85_NTC1 | N85_NTC2 | N85_TestSB || N86_NTC1 | N86_NTC2 | N86_TestSB || N87_NTC1 | N87_NTC2 | N87_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB
Group1; 1843.627163; 2026-07-07 11:37:01.337863; New Node Array: 95 13 18 19 25 26 28 35 62 85 86 87 98; TOFFMS=0
Group1; 1844.362704; 2026-07-07 11:37:02.073404; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB || N26_NTC1 | N26_NTC2 | N26_TestSB || N28_NTC1 | N28_NTC2 | N28_TestSB || N35_NTC1 | N35_NTC2 | N35_TestSB || N62_NTC1 | N62_NTC2 | N62_TestSB || N85_NTC1 | N85_NTC2 | N85_TestSB || N86_NTC1 | N86_NTC2 | N86_TestSB || N87_NTC1 | N87_NTC2 | N87_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8400|9152|9920|10672|11440|12208|12960|13727|14496|15247|16016|16783|17536|18303|19071|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
