Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB || N26_NTC1 | N26_NTC2 | N26_TestSB || N28_NTC1 | N28_NTC2 | N28_TestSB || N35_NTC1 | N35_NTC2 | N35_TestSB || N62_NTC1 | N62_NTC2 | N62_TestSB || N85_NTC1 | N85_NTC2 | N85_TestSB || N86_NTC1 | N86_NTC2 | N86_TestSB || N87_NTC1 | N87_NTC2 | N87_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB
Group1; 268.414632; 2026-07-07 11:10:46.125332; 988741 | 991234 | 991529 || 989577 | 990233 | 993261 || 989380 | 989013 | 989853 || 992517 | 992130 | 992621 || 992972 | 994873 | 996426 || 994301 | 996154 | 997562 || 995018 | 16777216 | 998566 || 1000087 | 997320 | 996100 || 997425 | 1001948 | 1000963 || 998363 | 997006 | 997094 || 1001364 | 1003344 | 1001800 || 1003590 | 1003225 | 1003671 || 1004325 | 1006318 | 1004538; TOFFMS=0|752|1520|2288|3040|3807|4576|5328|6096|6863|7616|8384|9151|9904|10671|11439|12191|12959|13727|14479|15247|16015|16768|17535|18287|19055|19823|20575|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28974
Group1; 298.141328; 2026-07-07 11:11:15.852028; 1004040 | 1006884 | 1007039 || 1005370 | 1005904 | 1009010 || 1005024 | 1002717 | 1007528 || 1007645 | 1006770 | 1008299 || 1007598 | 1010136 | 1011818 || 1009471 | 1011529 | 1012329 || 1010828 | 16777216 | 1014259 || 1016072 | 1013173 | 1011839 || 1013517 | 1017445 | 1016764 || 1014588 | 1013102 | 1011603 || 1017411 | 1018881 | 1017305 || 1019490 | 1019213 | 1019212 || 1020455 | 1021949 | 1018836; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6096|6864|7632|8384|9152|9919|10671|11439|12207|12959|13727|14495|15247|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25919|26687|27455|28207|28975
Group1; 327.884506; 2026-07-07 11:11:45.595206; 1019989 | 1022395 | 1022783 || 1021250 | 1021614 | 1025162 || 1020353 | 1018632 | 1022904 || 1023643 | 1023016 | 1024191 || 1023733 | 1026535 | 1027983 || 1025718 | 1027808 | 1028399 || 1026760 | 16777216 | 1030126 || 1032277 | 1029077 | 1027795 || 1029531 | 1033984 | 1032436 || 1030383 | 1029171 | 1027528 || 1033447 | 1034844 | 1033232 || 1035357 | 1035018 | 1035611 || 1035834 | 1038216 | 1035988; TOFFMS=0|751|1520|2287|3040|3807|4575|5327|6095|6863|7615|8383|9151|9903|10671|11439|12191|12959|13727|14479|15247|16015|16767|17535|18287|19055|19823|20575|21343|22111|22863|23631|24399|25151|25919|26686|27438|28206|28975
Group1; 357.610852; 2026-07-07 11:12:15.321552; 1036073 | 1038327 | 1038607 || 1037415 | 1037715 | 1040825 || 1036684 | 1033863 | 1038319 || 1039497 | 1039481 | 1039992 || 1040208 | 1042939 | 1043523 || 1042168 | 1043852 | 1044063 || 1042921 | 16777216 | 1046157 || 1048279 | 1044796 | 1043351 || 1045677 | 1049479 | 1047941 || 1046596 | 1044804 | 1044373 || 1049578 | 1051363 | 1049289 || 1051834 | 1051672 | 1051849 || 1052144 | 1054293 | 1051185; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8400|9152|9920|10672|11440|12208|12959|13727|14495|15247|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25935|26687|27455|28223|28975
Group1; 387.353621; 2026-07-07 11:12:45.064321; 1051901 | 1054221 | 1055409 || 1053387 | 1053783 | 1057465 || 1053097 | 1049828 | 1055578 || 1055762 | 1055555 | 1056101 || 1056233 | 1058516 | 1060195 || 1058224 | 1060141 | 1060832 || 1058897 | 16777216 | 1062197 || 1064473 | 1061780 | 1059736 || 1061822 | 1065794 | 1064214 || 1062914 | 1061825 | 1060221 || 1065817 | 1066838 | 1065280 || 1068072 | 1067482 | 1068257 || 1068671 | 1070818 | 1068365; TOFFMS=0|768|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11440|12191|12960|13727|14479|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 417.080685; 2026-07-07 11:13:14.791385; 1068533 | 1071106 | 1071607 || 1069280 | 1070132 | 1073362 || 1068550 | 1067461 | 1071287 || 1071881 | 1071389 | 1071885 || 1072067 | 1075221 | 1076458 || 1074651 | 1076766 | 1077555 || 1075422 | 16777216 | 1078814 || 1081346 | 1077582 | 1076214 || 1078195 | 1082204 | 1080982 || 1079061 | 1077386 | 1077020 || 1081615 | 1083797 | 1082604 || 1084113 | 1084315 | 1084384 || 1085331 | 1087573 | 1084441; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6111|6864|7631|8399|9151|9919|10687|11439|12207|12959|13727|14495|15247|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25935|26687|27455|28222|28975
Group1; 446.823181; 2026-07-07 11:13:44.533881; 1085145 | 1087733 | 1088590 || 1086330 | 1086795 | 1090129 || 1085742 | 1084358 | 1088087 || 1089237 | 1088378 | 1088787 || 1089716 | 1091700 | 1093453 || 1091173 | 1093357 | 1094047 || 1092035 | 16777216 | 1094723 || 1097979 | 1094144 | 1092455 || 1094744 | 1099204 | 1097330 || 1095914 | 1093964 | 1093710 || 1099077 | 1100623 | 1098497 || 1101078 | 1100451 | 1101294 || 1101317 | 1103796 | 1100467; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7616|8384|9152|9904|10672|11440|12192|12959|13728|14480|15247|16015|16767|17535|18303|19056|19824|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 476.565921; 2026-07-07 11:14:14.276621; 1101953 | 1104082 | 1104842 || 1103321 | 1103313 | 1107069 || 1102332 | 1098369 | 1103672 || 1105275 | 1104862 | 1105847 || 1105723 | 1108720 | 1109821 || 1108135 | 1110119 | 1111102 || 1108761 | 16777216 | 1111810 || 1114698 | 1111036 | 1109143 || 1111517 | 1116185 | 1114323 || 1112109 | 1110915 | 1110164 || 1115396 | 1117615 | 1115375 || 1118019 | 1117216 | 1117701 || 1118122 | 1120889 | 1117660; TOFFMS=0|752|1520|2272|3040|3808|4560|5328|6096|6848|7616|8384|9136|9904|10672|11424|12192|12959|13712|14480|15247|15999|16767|17535|18287|19055|19807|20575|21343|22095|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 506.292933; 2026-07-07 11:14:44.003633; 1118439 | 1121132 | 1121793 || 1120122 | 1120532 | 1123635 || 1119549 | 1118020 | 1120735 || 1122587 | 1121670 | 1122311 || 1122657 | 1125192 | 1126842 || 1124150 | 1126826 | 1127465 || 1125468 | 16777216 | 1129175 || 1131017 | 1127801 | 1126232 || 1128097 | 1132652 | 1131297 || 1129616 | 1127392 | 1126284 || 1132622 | 1133805 | 1131914 || 1134813 | 1134190 | 1134319 || 1135727 | 1137718 | 1134313; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7631|8384|9151|9919|10671|11439|12191|12959|13727|14480|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 536.035338; 2026-07-07 11:15:13.746038; 1135367 | 1138439 | 1138765 || 1136827 | 1137514 | 1141075 || 1135606 | 1133538 | 1138179 || 1139692 | 1138942 | 1139714 || 1139987 | 1142462 | 1144123 || 1141970 | 1144020 | 1145162 || 1142992 | 16777216 | 1146096 || 1148633 | 1145203 | 1143061 || 1145443 | 1150081 | 1148459 || 1146746 | 1144353 | 1143517 || 1149689 | 1151032 | 1149356 || 1151789 | 1151343 | 1152258 || 1152834 | 1154846 | 1152098; TOFFMS=0|752|1520|2288|3041|3808|4560|5328|6096|6848|7616|8384|9136|9904|10672|11424|12192|12960|13712|14480|15248|15999|16768|17535|18288|19056|19823|20576|21343|22095|22863|23631|24383|25151|25919|26671|27439|28207|28959
