Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB
Group1; 331.680663; 2026-07-06 13:58:24.062022; 967331 | 969038 | 968818 || 967290 | 967047 | 969423 || 969177 | 968184 | 967885 || 968683 | 966437 | 966688 || 966648 | 967997 | 968846
Group1; 343.104245; 2026-07-06 13:58:35.485604; 967243 | 968969 | 969142 || 967650 | 967405 | 969777 || 969315 | 968192 | 968103 || 968801 | 966669 | 966900 || 966870 | 968296 | 969073
Group1; 354.543898; 2026-07-06 13:58:46.925257; 967475 | 969185 | 969322 || 967874 | 967441 | 969760 || 969496 | 968386 | 968194 || 968941 | 966776 | 967022 || 967024 | 968565 | 969374
Group1; 365.983628; 2026-07-06 13:58:58.364987; 967815 | 969548 | 969633 || 968142 | 967958 | 970086 || 969773 | 968680 | 968344 || 969089 | 966741 | 966937 || 966985 | 968363 | 969040
Group1; 377.422977; 2026-07-06 13:59:09.804336; 967355 | 968832 | 968878 || 967619 | 967379 | 969578 || 969456 | 968365 | 967799 || 968811 | 966432 | 966507 || 966593 | 968010 | 968809
Group1; 388.862824; 2026-07-06 13:59:21.244183; 967298 | 968974 | 968819 || 967195 | 966877 | 969180 || 969091 | 968215 | 967691 || 968376 | 966230 | 966294 || 966314 | 967705 | 968450
Group1; 400.286102; 2026-07-06 13:59:32.667461; 966859 | 968691 | 968839 || 967201 | 966836 | 969167 || 968980 | 967860 | 967575 || 968288 | 966148 | 966197 || 966263 | 967633 | 968456
Group1; 411.725735; 2026-07-06 13:59:44.107094; 966795 | 968604 | 968732 || 967280 | 967100 | 969397 || 969001 | 967938 | 967599 || 968425 | 966217 | 966646 || 966455 | 968133 | 968935
Group1; 423.165242; 2026-07-06 13:59:55.546601; 967317 | 968921 | 969266 || 967785 | 967520 | 969706 || 969404 | 968183 | 968059 || 968810 | 966620 | 966956 || 966989 | 968757 | 969600
Group1; 434.604837; 2026-07-06 14:00:06.986196; 967980 | 969481 | 969330 || 967982 | 967769 | 969804 || 969569 | 968495 | 968311 || 969148 | 966996 | 967180 || 967242 | 968628 | 969293
