Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB
Group1; 331.681314; 2026-07-06 12:18:49.006056; 783426 | 784811 | 784951 || 783668 | 783506 | 785429 || 785326 | 784345 | 784123 || 784640 | 782853 | 783010 || 782898 | 784087 | 784643
Group1; 343.105109; 2026-07-06 12:19:00.429851; 783423 | 784923 | 785202 || 783770 | 783859 | 785978 || 785320 | 784403 | 784327 || 784855 | 783012 | 783217 || 783147 | 784455 | 785274
Group1; 354.544708; 2026-07-06 12:19:11.869450; 783884 | 785346 | 785777 || 784266 | 784220 | 786084 || 785675 | 784646 | 784551 || 785178 | 783548 | 783978 || 783683 | 784961 | 785629
Group1; 365.984181; 2026-07-06 12:19:23.308923; 784328 | 785616 | 785752 || 784503 | 784375 | 786347 || 785896 | 784941 | 784887 || 785452 | 783868 | 784146 || 783979 | 785420 | 786002
Group1; 377.423916; 2026-07-06 12:19:34.748658; 784657 | 785875 | 786021 || 784685 | 784393 | 786553 || 786040 | 785090 | 785028 || 785635 | 783949 | 784155 || 784028 | 785312 | 785966
Group1; 388.847519; 2026-07-06 12:19:46.172261; 784617 | 785834 | 785858 || 784576 | 784357 | 786414 || 786075 | 785179 | 785174 || 785653 | 783960 | 784166 || 784078 | 785139 | 785594
Group1; 400.287143; 2026-07-06 12:19:57.611885; 784215 | 785520 | 785711 || 784576 | 784371 | 786406 || 786076 | 785128 | 785128 || 785588 | 783925 | 783933 || 783932 | 784954 | 785525
Group1; 411.726581; 2026-07-06 12:20:09.051323; 784169 | 785475 | 785595 || 784411 | 784230 | 786191 || 786006 | 785012 | 784865 || 785473 | 783878 | 783963 || 783901 | 784968 | 785494
Group1; 423.166449; 2026-07-06 12:20:20.491191; 784185 | 785544 | 785640 || 784399 | 784157 | 786140 || 785956 | 784963 | 784656 || 785361 | 783551 | 783605 || 783608 | 785025 | 785550
Group1; 434.606032; 2026-07-06 12:20:31.930774; 784349 | 785577 | 785634 || 784321 | 784117 | 786145 || 785914 | 784901 | 784759 || 785383 | 783693 | 783784 || 783763 | 784876 | 785554
Group1; 446.029502; 2026-07-06 12:20:43.354244; 784209 | 785489 | 785541 || 784272 | 784083 | 786222 || 785818 | 784865 | 784822 || 785344 | 783717 | 783945 || 783825 | 785116 | 785648
Group1; 457.469174; 2026-07-06 12:20:54.793916; 784303 | 785720 | 785870 || 784651 | 784457 | 786237 || 785978 | 785095 | 785036 || 785575 | 783940 | 784196 || 784101 | 785307 | 785850
Group1; 468.908885; 2026-07-06 12:21:06.233627; 784510 | 785805 | 786101 || 784675 | 784681 | 786763 || 786142 | 785255 | 785245 || 785700 | 784057 | 784254 || 784152 | 785403 | 785890
Group1; 480.348546; 2026-07-06 12:21:17.673288; 784598 | 785981 | 786157 || 784976 | 784727 | 786653 || 786349 | 785463 | 785345 || 785994 | 784261 | 784270 || 784303 | 785404 | 786018
Group1; 491.771979; 2026-07-06 12:21:29.096721; 784751 | 785983 | 785999 || 784804 | 784638 | 786622 || 786324 | 785392 | 785208 || 785823 | 784015 | 784086 || 784033 | 785422 | 785823
Group1; 503.211699; 2026-07-06 12:21:40.536441; 784653 | 785932 | 785995 || 784815 | 784671 | 786714 || 786324 | 785332 | 785184 || 785828 | 783988 | 784190 || 784088 | 785287 | 785830
Group1; 514.651223; 2026-07-06 12:21:51.975965; 784441 | 785846 | 786021 || 784831 | 784628 | 786708 || 786324 | 785317 | 785341 || 785984 | 784192 | 784377 || 784271 | 785343 | 785888
Group1; 526.090897; 2026-07-06 12:22:03.415639; 784560 | 785905 | 786153 || 784910 | 784789 | 786965 || 786402 | 785480 | 785607 || 785987 | 784258 | 784466 || 784266 | 785461 | 786093
Group1; 537.514592; 2026-07-06 12:22:14.839334; 784687 | 785996 | 786292 || 784940 | 784887 | 787076 || 786450 | 785566 | 785454 || 786081 | 784259 | 784370 || 784371 | 785556 | 786214
Group1; 548.954201; 2026-07-06 12:22:26.278943; 784867 | 786172 | 786310 || 785083 | 784962 | 786888 || 786537 | 785609 | 785429 || 786058 | 784270 | 784551 || 784452 | 785686 | 786203
Group1; 560.393725; 2026-07-06 12:22:37.718467; 784868 | 786211 | 786463 || 785093 | 784945 | 787006 || 786585 | 785716 | 785669 || 786197 | 784386 | 784568 || 784460 | 785674 | 786165
Group1; 571.833303; 2026-07-06 12:22:49.158045; 784898 | 786112 | 786262 || 785029 | 784874 | 786908 || 786570 | 785639 | 785391 || 786059 | 784229 | 784398 || 784250 | 785420 | 785882
Group1; 583.272867; 2026-07-06 12:23:00.597609; 784561 | 785857 | 786214 || 784888 | 784979 | 786972 || 786487 | 785658 | 785600 || 786203 | 784454 | 784529 || 784518 | 785714 | 786303
Group1; 594.696622; 2026-07-06 12:23:12.021364; 784915 | 786152 | 786331 || 785133 | 784962 | 787055 || 786602 | 785688 | 785660 || 786180 | 784526 | 784702 || 784615 | 785872 | 786595
Group1; 606.136218; 2026-07-06 12:23:23.460960; 785229 | 786527 | 786623 || 785293 | 785239 | 787314 || 786793 | 785860 | 785990 || 786456 | 784964 | 785195 || 785034 | 786197 | 786642
Group1; 617.575807; 2026-07-06 12:23:34.900549; 785432 | 786643 | 786761 || 785672 | 785454 | 787527 || 787112 | 786196 | 786167 || 786680 | 785030 | 785183 || 785143 | 786421 | 786995
Group1; 629.015298; 2026-07-06 12:23:46.340040; 785723 | 786872 | 786921 || 785742 | 785548 | 787489 || 787177 | 786272 | 786230 || 786809 | 785036 | 785139 || 785098 | 786254 | 786966
Group1; 640.439076; 2026-07-06 12:23:57.763818; 785564 | 786943 | 787224 || 786002 | 785876 | 787902 || 787371 | 786492 | 786273 || 786898 | 785036 | 785171 || 785119 | 786400 | 787053
Group1; 651.878737; 2026-07-06 12:24:09.203479; 785797 | 787105 | 787332 || 785955 | 785948 | 787916 || 787461 | 786597 | 786473 || 786989 | 785136 | 785494 || 785325 | 786826 | 787421
Group1; 663.318537; 2026-07-06 12:24:20.643279; 786094 | 787314 | 787291 || 786100 | 786064 | 788081 || 787570 | 786721 | 786753 || 787257 | 785641 | 785529 || 785592 | 786601 | 787144
Group1; 674.758017; 2026-07-06 12:24:32.082759; 785900 | 787220 | 787327 || 786250 | 786201 | 788144 || 787636 | 786744 | 786690 || 787175 | 785308 | 785410 || 785309 | 786603 | 787232
Group1; 686.181538; 2026-07-06 12:24:43.506280; 785967 | 787233 | 787386 || 785799 | 785708 | 787695 || 787476 | 786508 | 786218 || 786807 | 785095 | 785291 || 785171 | 786391 | 786979
Group1; 697.621091; 2026-07-06 12:24:54.945833; 785642 | 786899 | 786965 || 785715 | 785495 | 787568 || 787317 | 786398 | 786361 || 786845 | 785142 | 785231 || 785147 | 786354 | 786827
