"run","setpoint_C","Tref_C","node","channel","flag","counts","R_mean","resid_mK","bias_SM_mK","win_min","sprt_sd_mK","sprt_drift_mK","settled"
"B_20260705-091555_-37to-15",-37,-37.1754099318233,"N98","TestSB","FAULTY",3535161.6,154139.777012999,1374.08801280262,1377.4,30,7.5,-1.6,TRUE
"B_20260705-091555_-37to-15",-37,-37.1754099318233,"N99","NTC1","ok",3727764.98333333,166744.152954038,-89.9449722877819,-45.7,30,7.5,-1.6,TRUE
"B_20260705-091555_-37to-15",-37,-37.1754099318233,"N99","NTC2","ok",3721164.28333333,166301.402471089,-40.6281463972107,-7.8,30,7.5,-1.6,TRUE
"B_20260705-091555_-37to-15",-37,-37.1754099318233,"N99","TestSB","ok",3705446.95,165250.29417311,77.0380255987106,57.3,30,7.5,-1.6,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1841463292833,"N29","NTC1","ok",3462400.66176471,149542.086323574,-49.7440962572853,-62.5,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1841463292833,"N29","NTC2","ok",3466425.14705882,149794.120415315,-81.3483645682425,-7.4,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1841463292833,"N29","TestSB","ok",3454476.19117647,149046.583556007,12.5632058392853,-4.8,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1841463292833,"N97","NTC1","ok",3451166.79411765,148839.954130448,38.6139555438092,-4.3,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1841463292833,"N97","NTC2","ok",3460553.17647059,149426.475360148,-35.227053765766,-4.8,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1841463292833,"N97","TestSB","ok",3461028.07352941,149456.187927256,-38.9591933972611,-40.6,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1841463292833,"N98","NTC1","ok",3422789.94117647,147075.430090752,262.725431825572,299.2,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1841463292833,"N98","NTC2","FAULTY",3328900.25,141328.236322632,1013.93010086844,1071.7,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1841463292833,"N98","TestSB","FAULTY",3255128.45588235,136908.161693156,1615.13937118633,1615.8,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1841463292833,"N99","NTC1","ok",3466853.33823529,149820.951462749,-84.709413367932,-36.4,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1841463292833,"N99","NTC2","ok",3460511.75,149423.883631419,-34.9014725164238,-3.9,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1841463292833,"N99","TestSB","ok",3447198.83823529,148592.439609318,69.872209613294,49.1,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1777144595882,"N88","NTC1","ok",3467412,149855.962461591,-95.5260059118359,-4.3,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1777144595882,"N88","NTC2","ok",3453263.89230769,148970.870460753,15.6721857080129,-5.2,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1777144595882,"N88","TestSB","ok",3457407.30769231,149229.742292686,-16.9268387565182,-124.3,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1777144595882,"N89","NTC1","ok",3453633.90769231,148993.976934533,12.7598940621851,-4,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1777144595882,"N89","NTC2","ok",3460420.47692308,149418.173490522,-40.6159939230122,-6,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1777144595882,"N89","TestSB","ok",3459978.61538462,149390.532073615,-37.1430531390615,-59.3,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1777144595882,"N90","NTC1","ok",3450746.07692308,148813.698428171,35.4951425235299,-5,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1777144595882,"N90","NTC2","ok",3463334.75384615,149600.560544625,-63.513713669181,-3.5,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1777144595882,"N90","TestSB","ok",3463116.13846154,149586.873937755,-61.7965096067508,-5.3,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1777144595882,"N91","NTC1","ok",3455748.87692308,149126.093667024,-3.88219468644024,-87.8,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1777144595882,"N91","NTC2","ok",3454617.84615385,149055.432049747,5.01666043385285,-8.6,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1777144595882,"N91","TestSB","ok",3454539.09230769,149050.51264198,5.6363663674972,-8.9,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1775719412889,"N92","NTC1","ok",3455313.9,149098.915851092,-0.602596630699281,-100.7,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1775719412889,"N92","NTC2","ok",3452618.38333333,148930.565451633,20.6108275121721,-4.8,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1775719412889,"N92","TestSB","ok",3462338.25,149538.179848442,-55.8281593140464,-7.4,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1775719412889,"N93","NTC1","ok",3462803.33333333,149567.291850139,-59.4818378923492,-21.1,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1775719412889,"N93","NTC2","ok",3453692.68333333,148997.6475205,12.1547889545468,-5.6,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1775719412889,"N93","TestSB","ok",3455331.45,149100.012334229,-0.740674590247181,-3.7,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1775719412889,"N94","NTC1","ok",3463843.28333333,149632.400480947,-67.6503869825638,-3.2,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1775719412889,"N94","NTC2","ok",3460679.95,149434.406756721,-42.7977701923794,-4.9,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1775719412889,"N94","TestSB","ok",3465265.88333333,149721.494324409,-78.8217338831316,-4.8,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1775719412889,"N96","NTC1","ok",3459501.88333333,149360.712824146,-33.5382016707229,-3.5,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1775719412889,"N96","NTC2","ok",3464325.75,149662.612462687,-71.4394508606233,-3.3,30,6.2,-15,TRUE
"A_20260703-234444_multiday_-35to0",-35,-35.1775719412889,"N96","TestSB","ok",3454145.05,149025.9000535,8.59467773381084,-92.3,30,6.2,-15,TRUE
"B_20260705-091555_-37to-15",-35,-35.1710167410473,"N92","NTC1","ok",3455123.71641791,149087.03394365,-5.66145936490869,-105.8,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1710167410473,"N92","NTC2","ok",3452364.44776119,148914.71178712,16.0546809487485,-9.4,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1710167410473,"N92","TestSB","ok",3462141.02985075,149525.835867137,-60.8338995106905,-12.4,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1710167410473,"N93","NTC1","ok",3462222.94029851,149530.962553803,-61.4774365402511,-23.1,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1710167410473,"N93","NTC2","ok",3453089.56716418,148959.985088445,10.346610586943,-7.4,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1710167410473,"N93","TestSB","ok",3454764.6119403,149064.600133463,-2.83591616416601,-5.8,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1710167410473,"N94","NTC1","ok",3463458.7761194,149608.325412458,-71.1855816834017,-6.7,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1710167410473,"N94","NTC2","ok",3460313.07462687,149411.454461643,-46.4695815385241,-8.5,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1710167410473,"N94","TestSB","ok",3464800,149692.313605579,-81.7188196640402,-7.7,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1710167410473,"N96","NTC1","ok",3459097.58208955,149335.426959465,-36.9150891879926,-6.9,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1710167410473,"N96","NTC2","ok",3463826.82089552,149631.369672597,-74.0762924439693,-6,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1710167410473,"N96","TestSB","ok",3453539.74626866,148988.096594585,6.80327368650779,-94,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1675108167914,"N88","NTC1","ok",3466921.16923077,149825.20211982,-101.877332207359,-10.7,30,5.8,4.4,TRUE
