start,soll_C,tag,zyklen,zyklen_mit_daten,zyklen_mit_kopfzeile,n_werte,n_5000,n_ungueltig,median_mm,min_mm,max_mm,abw_ref_pct,strom_mA,bemerkung,datei,median_z1_mm,drift_mm,n_500
2026-09-17T18:04:59,-50,,3,3,3,32,0,0,972,968,978,,100,,kammer_MB7574_20260917-180352_T-50_180459.txt,970,2.5,4
2026-09-17T18:12:41,-45,,3,3,3,36,0,0,980,972,992,,100,,kammer_MB7574_20260917-180352_T-45_181241.txt,980.5,0.5,0
