# Klimakammer 172.168.225.202, Soll -60 °C, Toleranz 1 K, halten 30 min
# zeit	ist_C	soll_C	status	fehler
2026-09-17T12:52:37	-59.93	-60.00	3	
2026-09-17T12:53:07	-59.97	-60.00	3	
2026-09-17T12:53:37	-59.95	-60.00	3	
2026-09-17T12:54:07	-59.94	-60.00	3	
2026-09-17T12:54:37	-59.96	-60.00	3	
2026-09-17T12:55:08	-59.99	-60.00	3	
2026-09-17T12:55:38	-59.97	-60.00	3	
2026-09-17T12:56:08	-59.98	-60.00	3	
2026-09-17T12:56:38	-60.00	-60.00	3	
2026-09-17T12:57:08	-60.00	-60.00	3	
2026-09-17T12:57:38	-59.98	-60.00	3	
2026-09-17T12:58:09	-59.96	-60.00	3	
2026-09-17T12:58:39	-59.99	-60.00	3	
2026-09-17T12:59:09	-60.00	-60.00	3	
2026-09-17T12:59:39	-59.99	-60.00	3	
2026-09-17T13:00:09	-60.00	-60.00	3	
2026-09-17T13:00:39	-60.02	-60.00	3	
2026-09-17T13:01:09	-60.01	-60.00	3	
2026-09-17T13:01:40	-59.99	-60.00	3	
2026-09-17T13:02:10	-59.99	-60.00	3	
2026-09-17T13:02:40	-60.03	-60.00	3	
2026-09-17T13:03:10	-60.02	-60.00	3	
2026-09-17T13:03:40	-60.02	-60.00	3	
2026-09-17T13:04:11	-60.01	-60.00	3	
2026-09-17T13:04:41	-60.00	-60.00	3	
2026-09-17T13:05:11	-59.99	-60.00	3	
2026-09-17T13:05:41	-60.01	-60.00	3	
2026-09-17T13:06:11	-60.02	-60.00	3	
2026-09-17T13:06:41	-60.03	-60.00	3	
2026-09-17T13:07:11	-60.11	-70.00	3	
2026-09-17T13:07:41	-60.94	-70.00	3	
2026-09-17T13:08:12	-62.38	-70.00	3	
2026-09-17T13:08:42	-63.47	-70.00	3	
2026-09-17T13:09:12	-64.03	-70.00	3	
2026-09-17T13:09:42	-64.45	-70.00	3	
2026-09-17T13:10:13	-64.83	-70.00	3	
2026-09-17T13:10:43	-65.20	-70.00	3	
2026-09-17T13:11:13	-65.47	-70.00	3	
2026-09-17T13:11:43	-65.76	-70.00	3	
2026-09-17T13:12:13	-66.07	-70.00	3	
2026-09-17T13:12:43	-66.32	-70.00	3	
2026-09-17T13:13:44	-66.82	-70.00	3	
2026-09-17T13:14:14	-67.02	-70.00	3	
2026-09-17T13:14:44	-67.25	-70.00	3	
2026-09-17T13:15:14	-67.44	-70.00	3	
2026-09-17T13:15:45	-67.62	-70.00	3	
2026-09-17T13:16:15	-67.78	-70.00	3	
2026-09-17T13:16:45	-67.89	-70.00	3	
2026-09-17T13:17:15	-68.08	-70.00	3	
2026-09-17T13:17:45	-68.31	-70.00	3	
2026-09-17T13:18:16	-68.57	-70.00	3	
2026-09-17T13:18:46	-68.81	-70.00	3	
2026-09-17T13:19:16	-68.98	-70.00	3	
2026-09-17T13:19:46	-69.07	-70.00	3	
2026-09-17T13:20:16	-69.12	-70.00	3	
2026-09-17T13:20:46	-69.20	-70.00	3	
2026-09-17T13:21:17	-69.28	-70.00	3	
2026-09-17T13:21:47	-69.39	-70.00	3	
2026-09-17T13:22:17	-69.48	-70.00	3	
2026-09-17T13:22:47	-69.57	-70.00	3	
