# Klimakammer 172.168.225.202, Soll -50 °C, Toleranz 1 K, halten 30 min
# zeit	ist_C	soll_C	status	fehler
2026-09-17T15:07:17	-70.00	-50.00	3	
2026-09-17T15:07:47	-69.12	-50.00	3	
2026-09-17T15:08:17	-66.98	-50.00	3	
2026-09-17T15:08:47	-64.50	-50.00	3	
2026-09-17T15:09:17	-61.94	-50.00	3	
2026-09-17T15:09:47	-59.56	-50.00	3	
2026-09-17T15:10:17				keine Verbindung zur Kammer 172.168.225.202:2049 (timed out)
2026-09-17T15:10:52				keine Verbindung zur Kammer 172.168.225.202:2049 (timed out)
2026-09-17T15:11:27				keine Verbindung zur Kammer 172.168.225.202:2049 (timed out)
2026-09-17T15:12:02				keine Verbindung zur Kammer 172.168.225.202:2049 (timed out)
2026-09-17T15:12:37				keine Verbindung zur Kammer 172.168.225.202:2049 ([Errno 51] Network is unreachable)
