# Klimakammer 172.168.225.202, Soll -70 °C, Toleranz 1 K, halten 30 min
# zeit	ist_C	soll_C	status	fehler
2026-09-17T13:25:50	-69.90	-70.00	3	
2026-09-17T13:26:21	-69.97	-70.00	3	
2026-09-17T13:26:51	-70.01	-70.00	3	
2026-09-17T13:27:21	-70.05	-70.00	3	
2026-09-17T13:27:51	-70.11	-70.00	3	
2026-09-17T13:28:21	-70.26	-70.00	3	
2026-09-17T13:28:52	-70.39	-70.00	3	
2026-09-17T13:29:22	-70.44	-70.00	3	
2026-09-17T13:29:52	-70.38	-70.00	3	
2026-09-17T13:30:22	-70.24	-70.00	3	
2026-09-17T13:30:52	-70.12	-70.00	3	
2026-09-17T13:31:22	-70.10	-70.00	3	
2026-09-17T13:31:52	-70.15	-70.00	3	
2026-09-17T13:32:22	-70.24	-70.00	3	
2026-09-17T13:32:53	-70.28	-70.00	3	
